time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
225.703,225.7,0.018608,0.016176,236.2438,-733.5397,0,-420.5482,1.955454,1.955454,1.675444,-765.0554,0.25,-466.8656,55.67546,0,20.1,-8.027385,0,-18.42746,-0.9168,0,-0.3994,-733.5397,0,1,0,0,0.3994,0,-0.9168,-420.5482,0,0,0,1
225.7233,225.72,0.020301,0.017001,236.2581,-733.7003,0,-420.9167,1.954641,1.954641,1.675444,-765.0554,0.25,-466.8656,55.28038,0,20.1,-8.03816,0,-18.42276,-0.9166,0,-0.3999,-733.7003,0,1,0,0,0.3999,0,-0.9166,-420.9167,0,0,0,1
225.7368,225.73,0.013492,0.016299,236.2714,-733.7808,0,-421.1009,1.954324,1.954324,1.675444,-765.0554,0.25,-466.8656,55.08286,0,20.1,-8.043547,0,-18.42041,-0.9164,0,-0.4002,-733.7808,0,1,0,0,0.4002,0,-0.9164,-421.1009,0,0,0,1
225.7498,225.74,0.013057,0.015651,236.2845,-733.8613,0,-421.2851,1.95412,1.95412,1.675444,-765.0554,0.25,-466.8656,54.88534,0,20.1,-8.048934,0,-18.41806,-0.9163,0,-0.4004,-733.8613,0,1,0,0,0.4004,0,-0.9163,-421.2851,0,0,0,1
225.7629,225.76,0.013047,0.01513,236.2978,-734.0225,0,-421.6534,1.95386,1.95386,1.675444,-765.0554,0.25,-466.8656,54.49034,0,20.1,-8.059704,0,-18.41335,-0.9161,0,-0.401,-734.0225,0,1,0,0,0.401,0,-0.9161,-421.6534,0,0,0,1
225.778,225.77,0.015162,0.015136,236.3125,-734.1031,0,-421.8375,1.953847,1.953847,1.675444,-765.0554,0.25,-466.8656,54.29285,0,20.1,-8.065087,0,-18.41098,-0.916,0,-0.4012,-734.1031,0,1,0,0,0.4012,0,-0.916,-421.8375,0,0,0,1
225.7911,225.79,0.01305,0.014719,236.3258,-734.2645,0,-422.2056,1.953791,1.953791,1.675444,-765.0554,0.25,-466.8656,53.89803,0,20.1,-8.075854,0,-18.40627,-0.9157,0,-0.4018,-734.2645,0,1,0,0,0.4018,0,-0.9157,-422.2056,0,0,0,1
225.8043,225.8,0.013225,0.01442,236.3389,-734.3453,0,-422.3896,1.953915,1.953915,1.675444,-765.0554,0.25,-466.8656,53.7006,0,20.1,-8.081236,0,-18.40391,-0.9156,0,-0.4021,-734.3453,0,1,0,0,0.4021,0,-0.9156,-422.3896,0,0,0,1
225.8246,225.82,0.020341,0.015604,236.3594,-734.5071,0,-422.7577,1.95438,1.95438,1.675444,-765.0554,0.25,-466.8656,53.30579,0,20.1,-8.091998,0,-18.39918,-0.9154,0,-0.4026,-734.5071,0,1,0,0,0.4026,0,-0.9154,-422.7577,0,0,0,1
225.8389,225.83,0.014212,0.015326,236.3734,-734.5881,0,-422.9416,1.954653,1.954653,1.675444,-765.0554,0.25,-466.8656,53.10841,0,20.1,-8.097378,0,-18.39681,-0.9153,0,-0.4029,-734.5881,0,1,0,0,0.4029,0,-0.9153,-422.9416,0,0,0,1
