vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,29,1,0,0
31,-0.007774,0,29.99996,0.999879,0,0.015553
32,-0.031105,0,30.99968,0.999516,0,0.031102
33,-0.069977,0,31.99891,0.998912,0,0.046643
34,-0.124382,0,32.99742,0.998065,0,0.062173
35,-0.194321,0,33.99496,0.996978,0,0.077688
36,-0.279755,0,34.99129,0.995649,0,0.093184
37,-0.38068,0,35.98618,0.994079,0,0.108658
38,-0.497063,0,36.97937,0.992269,0,0.124106
39,-0.62888,0,37.97064,0.990219,0,0.139523
40,-0.7761,0,38.95973,0.987929,0,0.154907
41,-0.938683,0,39.94641,0.9854,0,0.170253
42,-1.116589,0,40.93045,0.982633,0,0.185558
43,-1.309784,0,41.91161,0.979629,0,0.200818
44,-1.518208,0,42.88963,0.976387,0,0.21603
45,-1.741825,0,43.8643,0.972909,0,0.231189
46,-1.980568,0,44.83537,0.969196,0,0.246292
47,-2.23439,0,45.80261,0.965248,0,0.261336
48,-2.50322,0,46.76579,0.961067,0,0.276317
49,-2.787003,0,47.72467,0.956653,0,0.29123
50,-3.085659,0,48.67902,0.952008,0,0.306074
51,-3.399124,0,49.6286,0.947132,0,0.320843
52,-3.727318,0,50.5732,0.942028,0,0.335535
53,-4.070164,0,51.51259,0.936696,0,0.350145
54,-4.427578,0,52.44652,0.931137,0,0.364671
55,-4.799477,0,53.37479,0.925352,0,0.379108
56,-5.185764,0,54.29715,0.919344,0,0.393454
