vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,28.99999,1,0,0
31,0.00845,0,29.99994,0.999857,0,-0.016902
32,0.033802,0,30.99962,0.999429,0,-0.033799
33,0.076046,0,31.99871,0.998715,0,-0.050686
34,0.13517,0,32.99695,0.997715,0,-0.067559
35,0.211155,0,33.99405,0.996431,0,-0.084412
36,0.303986,0,34.98971,0.994862,0,-0.101241
37,0.413628,0,35.98367,0.993009,0,-0.118042
38,0.540058,0,36.97563,0.990872,0,-0.134809
39,0.683235,0,37.96532,0.988452,0,-0.151537
40,0.843117,0,38.95245,0.985749,0,-0.168222
41,1.019661,0,39.93673,0.982765,0,-0.184859
42,1.212814,0,40.91788,0.9795,0,-0.201443
43,1.422523,0,41.89563,0.975956,0,-0.217969
44,1.648735,0,42.86971,0.972132,0,-0.234433
45,1.891369,0,43.83981,0.968031,0,-0.250831
46,2.150372,0,44.80568,0.963653,0,-0.267156
47,2.425655,0,45.76702,0.959,0,-0.283405
48,2.717152,0,46.72358,0.954073,0,-0.299574
49,3.024776,0,47.67508,0.948874,0,-0.315656
50,3.348434,0,48.62123,0.943403,0,-0.331649
51,3.688046,0,49.5618,0.937663,0,-0.347547
52,4.043495,0,50.49648,0.931655,0,-0.363345
53,4.4147,0,51.42502,0.92538,0,-0.37904
54,4.80154,0,52.34715,0.918842,0,-0.394626
55,5.203911,0,53.2626,0.912041,0,-0.4101
56,5.6217,0,54.17114,0.904979,0,-0.425456
