time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
294.4102,294.41,0.016408,0.016652,304.9559,-644.6465,0,78.51159,2.174109,2.174109,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.05056,0,19.45512,0.9679,0,0.2513,-644.6465,0,1,0,0,-0.2513,0,0.9679,78.5116,0,0,0,1
294.4393,294.43,0.029147,0.019151,304.9743,-644.5456,0,78.90069,2.174884,2.174884,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.050298,0,19.45519,0.9679,0,0.2513,-644.5456,0,1,0,0,-0.2513,0,0.9679,78.9007,0,0,0,1
294.4529,294.45,0.01361,0.018043,304.9877,-644.4447,0,79.28979,2.1757,2.1757,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.050037,0,19.45526,0.9679,0,0.2512,-644.4447,0,1,0,0,-0.2512,0,0.9679,79.2898,0,0,0,1
294.4724,294.47,0.019445,0.018323,305.0074,-644.3437,0,79.67889,2.176584,2.176584,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.049778,0,19.45533,0.9679,0,0.2512,-644.3437,0,1,0,0,-0.2512,0,0.9679,79.6789,0,0,0,1
294.4938,294.49,0.0214,0.018938,305.0286,-644.2427,0,80.06801,2.177405,2.177405,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.049517,0,19.45539,0.9679,0,0.2512,-644.2427,0,1,0,0,-0.2512,0,0.9679,80.068,0,0,0,1
294.5091,294.5,0.015349,0.01822,305.044,-644.1923,0,80.26256,2.177845,2.177845,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.049387,0,19.45543,0.9679,0,0.2512,-644.1923,0,1,0,0,-0.2512,0,0.9679,80.2626,0,0,0,1
294.5266,294.52,0.017432,0.018063,305.0614,-644.0913,0,80.65167,2.178665,2.178665,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.049126,0,19.4555,0.9679,0,0.2512,-644.0913,0,1,0,0,-0.2512,0,0.9679,80.6517,0,0,0,1
294.5404,294.54,0.013891,0.017228,305.0753,-643.9904,0,81.04079,2.179486,2.179486,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.048865,0,19.45556,0.9679,0,0.2512,-643.9904,0,1,0,0,-0.2512,0,0.9679,81.0408,0,0,0,1
294.5596,294.55,0.019137,0.01761,305.094,-643.9399,0,81.23534,2.179925,2.179925,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.048735,0,19.4556,0.9679,0,0.2512,-643.9399,0,1,0,0,-0.2512,0,0.9679,81.2353,0,0,0,1
294.5739,294.57,0.01426,0.01694,305.1087,-643.8389,0,81.62446,2.180806,2.180806,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.048475,0,19.45567,0.9679,0,0.2512,-643.8389,0,1,0,0,-0.2512,0,0.9679,81.6245,0,0,0,1
294.5934,294.59,0.019502,0.017452,305.1282,-643.738,0,82.01357,2.181562,2.181562,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.048214,0,19.45573,0.9679,0,0.2512,-643.738,0,1,0,0,-0.2512,0,0.9679,82.0136,0,0,0,1
294.6074,294.6,0.014086,0.016779,305.1419,-643.6875,0,82.20813,2.182066,2.182066,-0.038452,NaN,NaN,NaN,NaN,0,20.1,5.048084,0,19.45577,0.9679,0,0.2511,-643.6875,0,1,0,0,-0.2511,0,0.9679,82.2081,0,0,0,1
294.6215,294.62,0.014025,0.016228,305.1565,-643.5865,0,82.59724,2.182887,2.182887,-0.027466,NaN,NaN,NaN,NaN,0,20.1,5.047897,0,19.45582,0.968,0,0.2511,-643.5865,0,1,0,0,-0.2511,0,0.968,82.5972,0,0,0,1
294.6355,294.63,0.014066,0.015796,305.1701,-643.5361,0,82.7918,2.183328,2.183328,-0.009155,NaN,NaN,NaN,NaN,0,20.1,5.047865,0,19.45582,0.968,0,0.2511,-643.5361,0,1,0,0,-0.2511,0,0.968,82.7918,0,0,0,1
294.6498,294.64,0.014334,0.015503,305.1843,-643.4856,0,82.98636,2.183707,2.183707,0.009155,NaN,NaN,NaN,NaN,0,20.1,5.047897,0,19.45582,0.968,0,0.2511,-643.4856,0,1,0,0,-0.2511,0,0.968,82.9864,0,0,0,1
294.6637,294.66,0.013801,0.015163,305.1987,-643.3846,0,83.37547,2.184529,2.184529,0.027466,NaN,NaN,NaN,NaN,0,20.1,5.048084,0,19.45577,0.9679,0,0.2511,-643.3846,0,1,0,0,-0.2511,0,0.9679,83.3755,0,0,0,1
294.6819,294.68,0.018293,0.015789,305.217,-643.2837,0,83.76459,2.185408,2.185408,0.045776,NaN,NaN,NaN,NaN,0,20.1,5.048395,0,19.45569,0.9679,0,0.2512,-643.2837,0,1,0,0,-0.2512,0,0.9679,83.7646,0,0,0,1
294.6971,294.69,0.01518,0.015667,305.2316,-643.2332,0,83.95914,2.185789,2.185789,0.082397,NaN,NaN,NaN,NaN,0,20.1,5.048675,0,19.45561,0.9679,0,0.2512,-643.2332,0,1,0,0,-0.2512,0,0.9679,83.9591,0,0,0,1
294.7167,294.71,0.01955,0.016444,305.2516,-643.1323,0,84.34826,2.186668,2.186668,0.100708,NaN,NaN,NaN,NaN,0,20.1,5.049359,0,19.45543,0.9679,0,0.2512,-643.1323,0,1,0,0,-0.2512,0,0.9679,84.3483,0,0,0,1
294.7307,294.73,0.014015,0.015958,305.2656,-643.0313,0,84.73736,2.18749,2.18749,0.130005,NaN,NaN,NaN,NaN,0,20.1,5.050241,0,19.45521,0.9679,0,0.2513,-643.0313,0,1,0,0,-0.2513,0,0.9679,84.7374,0,0,0,1
294.7453,294.74,0.014584,0.015683,305.2798,-642.9808,0,84.93191,2.187991,2.187991,0.144653,NaN,NaN,NaN,NaN,0,20.1,5.050733,0,19.45508,0.9679,0,0.2513,-642.9808,0,1,0,0,-0.2513,0,0.9679,84.9319,0,0,0,1
294.7595,294.75,0.014188,0.015384,305.294,-642.9302,0,85.12646,2.188494,2.188494,0.148315,NaN,NaN,NaN,NaN,0,20.1,5.051236,0,19.45495,0.9679,0,0.2513,-642.9302,0,1,0,0,-0.2513,0,0.9679,85.1265,0,0,0,1
294.7739,294.77,0.014429,0.015193,305.3088,-642.8292,0,85.51556,2.18944,2.18944,0.162964,NaN,NaN,NaN,NaN,0,20.1,5.052343,0,19.45466,0.9679,0,0.2514,-642.8292,0,1,0,0,-0.2514,0,0.9679,85.5156,0,0,0,1
294.795,294.79,0.021132,0.016381,305.3298,-642.7281,0,85.90464,2.190387,2.190387,0.166626,NaN,NaN,NaN,NaN,0,20.1,5.053475,0,19.45437,0.9679,0,0.2514,-642.7281,0,1,0,0,-0.2514,0,0.9679,85.9046,0,0,0,1
294.8147,294.81,0.019683,0.017041,305.3498,-642.627,0,86.29372,2.191333,2.191333,0.177612,NaN,NaN,NaN,NaN,0,20.1,5.054681,0,19.45405,0.9679,0,0.2515,-642.627,0,1,0,0,-0.2515,0,0.9679,86.2937,0,0,0,1
294.8303,294.83,0.015599,0.016753,305.3652,-642.5259,0,86.6828,2.19228,2.19228,0.184937,NaN,NaN,NaN,NaN,0,20.1,5.055937,0,19.45373,0.9678,0,0.2515,-642.5259,0,1,0,0,-0.2515,0,0.9678,86.6828,0,0,0,1
294.8442,294.84,0.013917,0.016186,305.3787,-642.4754,0,86.87733,2.192784,2.192784,0.199585,NaN,NaN,NaN,NaN,0,20.1,5.056614,0,19.45355,0.9678,0,0.2516,-642.4754,0,1,0,0,-0.2516,0,0.9678,86.8773,0,0,0,1
294.8589,294.85,0.014708,0.01589,305.3933,-642.4248,0,87.07187,2.193348,2.193348,0.214233,NaN,NaN,NaN,NaN,0,20.1,5.057341,0,19.45336,0.9678,0,0.2516,-642.4248,0,1,0,0,-0.2516,0,0.9678,87.0719,0,0,0,1
294.872,294.87,0.013087,0.015329,305.407,-642.3236,0,87.46093,2.194421,2.194421,0.247192,NaN,NaN,NaN,NaN,0,20.1,5.05902,0,19.45293,0.9678,0,0.2517,-642.3236,0,1,0,0,-0.2517,0,0.9678,87.4609,0,0,0,1
294.8934,294.89,0.021341,0.016532,305.4286,-642.2224,0,87.84998,2.195552,2.195552,0.280151,NaN,NaN,NaN,NaN,0,20.1,5.060922,0,19.45243,0.9678,0,0.2518,-642.2224,0,1,0,0,-0.2518,0,0.9678,87.85,0,0,0,1
294.9069,294.9,0.013509,0.015927,305.4414,-642.1718,0,88.0445,2.196059,2.196059,0.342407,NaN,NaN,NaN,NaN,0,20.1,5.062084,0,19.45213,0.9678,0,0.2518,-642.1718,0,1,0,0,-0.2518,0,0.9678,88.0445,0,0,0,1
294.9268,294.92,0.019979,0.016738,305.4621,-642.0705,0,88.43353,2.197317,2.197317,0.390015,NaN,NaN,NaN,NaN,0,20.1,5.064733,0,19.45144,0.9677,0,0.252,-642.0705,0,1,0,0,-0.252,0,0.9677,88.4335,0,0,0,1
294.9408,294.94,0.013978,0.016186,305.4758,-641.9692,0,88.82255,2.198514,2.198514,0.474258,NaN,NaN,NaN,NaN,0,20.1,5.067953,0,19.4506,0.9677,0,0.2521,-641.9692,0,1,0,0,-0.2521,0,0.9677,88.8226,0,0,0,1
294.956,294.95,0.015161,0.015981,305.4906,-641.9185,0,89.01705,2.199147,2.199147,0.558486,NaN,NaN,NaN,NaN,0,20.1,5.069849,0,19.45011,0.9677,0,0.2522,-641.9185,0,1,0,0,-0.2522,0,0.9677,89.0171,0,0,0,1
294.9699,294.96,0.013885,0.015562,305.5043,-641.8677,0,89.21155,2.199839,2.199839,0.661025,NaN,NaN,NaN,NaN,0,20.1,5.072093,0,19.44952,0.9676,0,0.2523,-641.8677,0,1,0,0,-0.2523,0,0.9676,89.2116,0,0,0,1
294.9843,294.98,0.014397,0.015329,305.5193,-641.7662,0,89.60051,2.201227,2.201227,0.752578,NaN,NaN,NaN,NaN,0,20.1,5.077202,0,19.44819,0.9676,0,0.2526,-641.7662,0,1,0,0,-0.2526,0,0.9676,89.6005,0,0,0,1
