time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
646.7325,646.73,0.023304,0.015973,657.2737,-655.8157,0,-226.6615,2.111511,2.111511,0.613418,-698.5309,0.25,-268.7256,59.59622,0,20.1,-16.12294,0,-12.00253,-0.5971,0,-0.8021,-655.8157,0,1,0,0,0.8021,0,-0.5971,-226.6615,0,0,0,1
646.7528,646.75,0.020287,0.016836,657.2878,-656.1382,0,-226.9015,2.113816,2.113816,0.595107,-698.5309,0.25,-268.7256,59.19806,0,20.1,-16.12543,0,-11.99919,-0.597,0,-0.8023,-656.1382,0,1,0,0,0.8023,0,-0.597,-226.9015,0,0,0,1
646.7685,646.76,0.015683,0.016605,657.3032,-656.2994,0,-227.0215,2.114958,2.114958,0.558486,-698.5309,0.25,-268.7256,58.999,0,20.1,-16.1266,0,-11.99761,-0.5969,0,-0.8023,-656.2994,0,1,0,0,0.8023,0,-0.5969,-227.0215,0,0,0,1
646.7816,646.78,0.013022,0.015889,657.3166,-656.622,0,-227.2614,2.117362,2.117362,0.485244,-698.5309,0.25,-268.7256,58.60091,0,20.1,-16.12864,0,-11.99488,-0.5968,0,-0.8024,-656.622,0,1,0,0,0.8024,0,-0.5968,-227.2614,0,0,0,1
646.7965,646.79,0.014978,0.015707,657.3312,-656.7833,0,-227.3813,2.118608,2.118608,0.371704,-698.5309,0.25,-268.7256,58.40192,0,20.1,-16.12942,0,-11.99384,-0.5967,0,-0.8025,-656.7833,0,1,0,0,0.8025,0,-0.5967,-227.3813,0,0,0,1
646.8104,646.81,0.01383,0.015331,657.3456,-657.106,0,-227.6212,2.121098,2.121098,0.214233,-698.5309,0.25,-268.7256,58.00391,0,20.1,-16.13031,0,-11.99263,-0.5966,0,-0.8025,-657.106,0,1,0,0,0.8025,0,-0.5966,-227.6212,0,0,0,1
646.8329,646.83,0.022553,0.016776,657.3684,-657.4286,0,-227.8611,2.123564,2.123564,-0.009155,-698.5309,0.25,-268.7256,57.60597,0,20.1,-16.13028,0,-11.99268,-0.5967,0,-0.8025,-657.4286,0,1,0,0,0.8025,0,-0.5967,-227.8611,0,0,0,1
646.855,646.85,0.022131,0.017847,657.3903,-657.7512,0,-228.1009,2.126005,2.126005,-0.331428,-698.5309,0.25,-268.7256,57.20807,0,20.1,-16.12889,0,-11.99455,-0.5967,0,-0.8024,-657.7512,0,1,0,0,0.8024,0,-0.5967,-228.1009,0,0,0,1
646.8699,646.86,0.014894,0.017256,657.4045,-657.9125,0,-228.2209,2.127201,2.127201,-0.661018,-698.5309,0.25,-268.7256,57.00917,0,20.1,-16.1275,0,-11.99641,-0.5968,0,-0.8024,-657.9125,0,1,0,0,0.8024,0,-0.5968,-228.2209,0,0,0,1
646.8841,646.88,0.014158,0.016637,657.4197,-658.235,0,-228.4609,2.129472,2.129472,-0.884414,-698.5309,0.25,-268.7256,56.61136,0,20.1,-16.1238,0,-12.00138,-0.5971,0,-0.8022,-658.235,0,1,0,0,0.8022,0,-0.5971,-228.4609,0,0,0,1
