time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
1106.487,1106.48,0.015032,0.016648,1117.027,-612.3348,0,-4.777169,1.445482,1.445482,2.019682,-562.4625,0.25,23.84672,57.16168,0,20.1,16.14318,0,11.97531,0.5958,0,0.8031,-612.3348,0,1,0,0,-0.8031,0,0.5958,-4.7772,0,0,0,1
1106.508,1106.5,0.020353,0.017389,1117.043,-612.0118,0,-4.537834,1.456206,1.456206,2.019682,-562.4625,0.25,23.84672,56.7625,0,20.1,16.15161,0,11.96392,0.5952,0,0.8036,-612.0118,0,1,0,0,-0.8036,0,0.5952,-4.5378,0,0,0,1
1106.523,1106.52,0.015387,0.016989,1117.058,-611.6887,0,-4.298726,1.467259,1.467259,2.019682,-562.4625,0.25,23.84672,56.36332,0,20.1,16.16004,0,11.95253,0.5947,0,0.804,-611.6887,0,1,0,0,-0.804,0,0.5947,-4.2987,0,0,0,1
1106.54,1106.54,0.017218,0.017035,1117.075,-611.3654,0,-4.059846,1.478545,1.478545,2.019682,-562.4625,0.25,23.84672,55.96418,0,20.1,16.16847,0,11.94113,0.5941,0,0.8044,-611.3654,0,1,0,0,-0.8044,0,0.5941,-4.0598,0,0,0,1
1106.563,1106.56,0.022746,0.018177,1117.098,-611.0419,0,-3.821195,1.490126,1.490126,2.019682,-562.4625,0.25,23.84672,55.56504,0,20.1,16.17688,0,11.92973,0.5935,0,0.8048,-611.0419,0,1,0,0,-0.8048,0,0.5935,-3.8212,0,0,0,1
1106.579,1106.57,0.015703,0.017682,1117.113,-610.8801,0,-3.701955,1.496,1.496,2.019682,-562.4625,0.25,23.84672,55.36547,0,20.1,16.18109,0,11.92403,0.5932,0,0.805,-610.8801,0,1,0,0,-0.805,0,0.5932,-3.702,0,0,0,1
1106.595,1106.59,0.016105,0.017367,1117.13,-610.5563,0,-3.463645,1.508029,1.508029,2.019682,-562.4625,0.25,23.84672,54.96635,0,20.1,16.18949,0,11.91262,0.5927,0,0.8054,-610.5563,0,1,0,0,-0.8054,0,0.5927,-3.4636,0,0,0,1
1106.611,1106.61,0.015961,0.017086,1117.146,-610.2324,0,-3.225564,1.520315,1.520315,2.019682,-562.4625,0.25,23.84672,54.56722,0,20.1,16.19788,0,11.90121,0.5921,0,0.8059,-610.2324,0,1,0,0,-0.8059,0,0.5921,-3.2256,0,0,0,1
1106.629,1106.62,0.018017,0.017272,1117.163,-610.0703,0,-3.106609,1.526633,1.526633,2.019682,-562.4625,0.25,23.84672,54.36758,0,20.1,16.20208,0,11.89549,0.5918,0,0.8061,-610.0703,0,1,0,0,-0.8061,0,0.5918,-3.1066,0,0,0,1
1106.65,1106.65,0.021367,0.018091,1117.186,-609.584,0,-2.750087,1.545769,1.545769,2.019682,-562.4625,0.25,23.84672,53.76894,0,20.1,16.21465,0,11.87835,0.591,0,0.8067,-609.584,0,1,0,0,-0.8067,0,0.591,-2.7501,0,0,0,1
