time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
892.9604,892.96,0.013214,0.015696,903.5016,593.0092,0,391.3977,2.261988,2.261988,0.796523,NaN,NaN,NaN,NaN,0,20.1,-4.540469,0,19.58045,0.9742,0,-0.2259,593.0092,0,1,0,0,0.2259,0,0.9742,391.3977,0,0,0,1
892.9809,892.98,0.020477,0.016652,903.516,592.9185,0,391.7893,2.260297,2.260297,0.664687,NaN,NaN,NaN,NaN,0,20.1,-4.535926,0,19.58151,0.9742,0,-0.2257,592.9185,0,1,0,0,0.2257,0,0.9742,391.7893,0,0,0,1
893.0022,893,0.02132,0.017585,903.5372,592.8277,0,392.181,2.258543,2.258543,0.576797,NaN,NaN,NaN,NaN,0,20.1,-4.531983,0,19.58242,0.9742,0,-0.2255,592.8277,0,1,0,0,0.2255,0,0.9742,392.181,0,0,0,1
893.0162,893.01,0.014004,0.016869,903.5508,592.7824,0,392.3768,2.257735,2.257735,0.455933,NaN,NaN,NaN,NaN,0,20.1,-4.530424,0,19.58278,0.9743,0,-0.2254,592.7824,0,1,0,0,0.2254,0,0.9743,392.3768,0,0,0,1
893.0292,893.02,0.012987,0.016093,903.5637,592.7371,0,392.5726,2.25698,2.25698,0.390015,NaN,NaN,NaN,NaN,0,20.1,-4.529091,0,19.58309,0.9743,0,-0.2253,592.7371,0,1,0,0,0.2253,0,0.9743,392.5726,0,0,0,1
893.0422,893.04,0.013082,0.015491,903.577,592.6465,0,392.9643,2.255359,2.255359,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.526475,0,19.58369,0.9743,0,-0.2252,592.6465,0,1,0,0,0.2252,0,0.9743,392.9643,0,0,0,1
893.0549,893.05,0.012644,0.014921,903.5894,592.6013,0,393.1602,2.254663,2.254663,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.525167,0,19.584,0.9743,0,-0.2251,592.6013,0,1,0,0,0.2251,0,0.9743,393.1602,0,0,0,1
893.0684,893.06,0.013527,0.014642,903.6029,592.5561,0,393.356,2.253915,2.253915,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.523859,0,19.5843,0.9743,0,-0.2251,592.5561,0,1,0,0,0.2251,0,0.9743,393.356,0,0,0,1
893.0815,893.08,0.013059,0.014326,903.6163,592.4656,0,393.7477,2.252472,2.252472,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.521244,0,19.5849,0.9744,0,-0.2249,592.4656,0,1,0,0,0.2249,0,0.9744,393.7477,0,0,0,1
893.101,893.1,0.019542,0.015369,903.636,592.3752,0,394.1394,2.251035,2.251035,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.518627,0,19.58551,0.9744,0,-0.2248,592.3752,0,1,0,0,0.2248,0,0.9744,394.1394,0,0,0,1
893.1138,893.11,0.012727,0.01484,903.6482,592.3301,0,394.3353,2.250407,2.250407,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.517319,0,19.58581,0.9744,0,-0.2247,592.3301,0,1,0,0,0.2247,0,0.9744,394.3353,0,0,0,1
893.135,893.13,0.021218,0.016116,903.6698,592.2397,0,394.727,2.249029,2.249029,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.514702,0,19.58641,0.9744,0,-0.2246,592.2397,0,1,0,0,0.2246,0,0.9744,394.727,0,0,0,1
893.1494,893.14,0.014374,0.015768,903.684,592.1946,0,394.9228,2.248467,2.248467,0.38269,NaN,NaN,NaN,NaN,0,20.1,-4.513394,0,19.58671,0.9745,0,-0.2245,592.1946,0,1,0,0,0.2245,0,0.9745,394.9228,0,0,0,1
893.1627,893.16,0.013348,0.015284,903.6978,592.1044,0,395.3145,2.247216,2.247216,0.371704,NaN,NaN,NaN,NaN,0,20.1,-4.510853,0,19.5873,0.9745,0,-0.2244,592.1044,0,1,0,0,0.2244,0,0.9745,395.3145,0,0,0,1
893.1763,893.17,0.013642,0.014955,903.7111,592.0593,0,395.5104,2.246653,2.246653,0.353394,NaN,NaN,NaN,NaN,0,20.1,-4.509645,0,19.58758,0.9745,0,-0.2244,592.0593,0,1,0,0,0.2244,0,0.9745,395.5104,0,0,0,1
893.1912,893.19,0.014803,0.014925,903.7262,591.9691,0,395.9022,2.245461,2.245461,0.316773,NaN,NaN,NaN,NaN,0,20.1,-4.507479,0,19.58807,0.9745,0,-0.2243,591.9691,0,1,0,0,0.2243,0,0.9745,395.9022,0,0,0,1
893.2051,893.2,0.013899,0.01472,903.7395,591.9241,0,396.0981,2.244899,2.244899,0.269165,NaN,NaN,NaN,NaN,0,20.1,-4.506559,0,19.58829,0.9745,0,-0.2242,591.9241,0,1,0,0,0.2242,0,0.9745,396.0981,0,0,0,1
893.2234,893.22,0.018344,0.015445,903.7582,591.834,0,396.4899,2.243839,2.243839,0.232544,NaN,NaN,NaN,NaN,0,20.1,-4.50497,0,19.58865,0.9746,0,-0.2241,591.834,0,1,0,0,0.2241,0,0.9746,396.4899,0,0,0,1
893.2369,893.23,0.013541,0.015064,903.7715,591.7889,0,396.6858,2.243277,2.243277,0.166626,NaN,NaN,NaN,NaN,0,20.1,-4.5044,0,19.58878,0.9746,0,-0.2241,591.7889,0,1,0,0,0.2241,0,0.9746,396.6858,0,0,0,1
