time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
753.9121,753.91,0.012362,0.014216,764.452,53.71796,0,174.5225,1.546467,1.546467,1.192031,64.19008,0.25,229.7551,55.92471,0,20.1,-0.104081,0,20.09973,1,0,-0.0052,53.718,0,1,0,0,0.0052,0,1,174.5225,0,0,0,1
753.9336,753.93,0.021491,0.015671,764.4686,53.71601,0,174.9245,1.545993,1.545993,1.192031,64.19008,0.25,229.7551,55.52988,0,20.1,-0.095717,0,20.09977,1,0,-0.0048,53.716,0,1,0,0,0.0048,0,1,174.9245,0,0,0,1
753.9477,753.94,0.014104,0.015358,764.4822,53.7151,0,175.1255,1.545817,1.545817,1.192031,64.19008,0.25,229.7551,55.3325,0,20.1,-0.091535,0,20.09979,1,0,-0.0046,53.7151,0,1,0,0,0.0046,0,1,175.1255,0,0,0,1
753.9695,753.96,0.021796,0.016645,764.5043,53.71339,0,175.5275,1.545585,1.545585,1.192031,64.19008,0.25,229.7551,54.93778,0,20.1,-0.083172,0,20.09983,1,0,-0.0041,53.7134,0,1,0,0,0.0041,0,1,175.5275,0,0,0,1
753.9837,753.98,0.014211,0.016159,764.5185,53.71185,0,175.9295,1.545527,1.545527,1.192031,64.19008,0.25,229.7551,54.54314,0,20.1,-0.074808,0,20.09986,1,0,-0.0037,53.7119,0,1,0,0,0.0037,0,1,175.9295,0,0,0,1
753.9995,753.99,0.015765,0.01608,764.5338,53.71114,0,176.1305,1.545558,1.545558,1.192031,64.19008,0.25,229.7551,54.34585,0,20.1,-0.070627,0,20.09988,1,0,-0.0035,53.7111,0,1,0,0,0.0035,0,1,176.1305,0,0,0,1
754.0125,754.01,0.01298,0.01546,764.5474,53.70986,0,176.5325,1.545752,1.545752,1.192031,64.19008,0.25,229.7551,53.95132,0,20.1,-0.062263,0,20.09991,1,0,-0.0031,53.7099,0,1,0,0,0.0031,0,1,176.5325,0,0,0,1
754.0346,754.03,0.022202,0.016808,764.5695,53.70874,0,176.9345,1.546111,1.546111,1.192031,64.19008,0.25,229.7551,53.55688,0,20.1,-0.0539,0,20.09993,1,0,-0.0027,53.7087,0,1,0,0,0.0027,0,1,176.9345,0,0,0,1
754.0552,754.05,0.020542,0.017555,764.59,53.70779,0,177.3365,1.546641,1.546641,1.192031,64.19008,0.25,229.7551,53.16251,0,20.1,-0.045536,0,20.09995,1,0,-0.0023,53.7078,0,1,0,0,0.0023,0,1,177.3365,0,0,0,1
754.0681,754.06,0.012886,0.016621,764.6026,53.70738,0,177.5376,1.546966,1.546966,1.192031,64.19008,0.25,229.7551,52.96534,0,20.1,-0.041354,0,20.09996,1,0,-0.0021,53.7074,0,1,0,0,0.0021,0,1,177.5376,0,0,0,1
