vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,29,1,0,0
31,-0.008698,0,29.99995,0.999849,0,0.017392
32,-0.034782,0,30.9996,0.999395,0,0.034779
33,-0.078251,0,31.99864,0.998639,0,0.052155
34,-0.139088,0,32.99677,0.997581,0,0.069515
35,-0.217274,0,33.9937,0.996221,0,0.086855
36,-0.312786,0,34.98912,0.99456,0,0.104168
37,-0.425598,0,35.98272,0.992598,0,0.121449
38,-0.555672,0,36.97421,0.990335,0,0.138694
39,-0.702972,0,37.96329,0.987773,0,0.155897
40,-0.867451,0,38.94966,0.984913,0,0.173053
41,-1.049061,0,39.93302,0.981754,0,0.190156
42,-1.247742,0,40.91307,0.978298,0,0.207202
43,-1.463444,0,41.88951,0.974547,0,0.224185
44,-1.696091,0,42.86206,0.9705,0,0.2411
45,-1.945618,0,43.83042,0.96616,0,0.257943
46,-2.211948,0,44.79428,0.961528,0,0.274707
47,-2.495007,0,45.75338,0.956605,0,0.291388
48,-2.794697,0,46.7074,0.951392,0,0.307981
49,-3.110935,0,47.65607,0.945892,0,0.324482
50,-3.44363,0,48.59909,0.940106,0,0.340883
51,-3.792667,0,49.53618,0.934035,0,0.357182
52,-4.157955,0,50.46706,0.927681,0,0.373373
53,-4.539375,0,51.39145,0.921048,0,0.38945
54,-4.936817,0,52.30907,0.914135,0,0.40541
55,-5.350155,0,53.21963,0.906946,0,0.421247
56,-5.77927,0,54.12286,0.899482,0,0.436957
