time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
658.1292,658.12,0.012765,0.014833,668.6694,-688.487,0,-355.6142,1.791823,1.791823,1.298232,NaN,NaN,NaN,NaN,0,20.1,4.005299,0,-19.6969,-0.9799,0,0.1993,-688.487,0,1,0,0,-0.1993,0,-0.9799,-355.6142,0,0,0,1
658.1489,658.14,0.019631,0.015792,668.6837,-688.407,0,-356.0082,1.789859,1.789859,1.279922,NaN,NaN,NaN,NaN,0,20.1,3.996498,0,-19.69868,-0.98,0,0.1988,-688.407,0,1,0,0,-0.1988,0,-0.98,-356.0082,0,0,0,1
658.163,658.16,0.014176,0.015469,668.6979,-688.3272,0,-356.4021,1.788144,1.788144,1.250625,NaN,NaN,NaN,NaN,0,20.1,3.987898,0,-19.70043,-0.9801,0,0.1984,-688.3272,0,1,0,0,-0.1984,0,-0.9801,-356.4021,0,0,0,1
658.1779,658.17,0.014877,0.015351,668.7124,-688.2874,0,-356.5991,1.787271,1.787271,1.22499,NaN,NaN,NaN,NaN,0,20.1,3.983686,0,-19.70128,-0.9802,0,0.1982,-688.2874,0,1,0,0,-0.1982,0,-0.9802,-356.5991,0,0,0,1
658.1993,658.19,0.021405,0.016562,668.7344,-688.2078,0,-356.9932,1.78578,1.78578,1.195693,NaN,NaN,NaN,NaN,0,20.1,3.975463,0,-19.70294,-0.9802,0,0.1978,-688.2078,0,1,0,0,-0.1978,0,-0.9802,-356.9932,0,0,0,1
658.2134,658.21,0.014085,0.016066,668.7482,-688.1284,0,-357.3873,1.78447,1.78447,1.159072,NaN,NaN,NaN,NaN,0,20.1,3.967492,0,-19.70455,-0.9803,0,0.1974,-688.1284,0,1,0,0,-0.1974,0,-0.9803,-357.3873,0,0,0,1
658.2277,658.22,0.014326,0.015718,668.7621,-688.0889,0,-357.5844,1.783973,1.783973,1.126113,NaN,NaN,NaN,NaN,0,20.1,3.963619,0,-19.70533,-0.9804,0,0.1972,-688.0889,0,1,0,0,-0.1972,0,-0.9804,-357.5844,0,0,0,1
658.2432,658.24,0.015523,0.015679,668.7782,-688.0096,0,-357.9785,1.782788,1.782788,1.107802,NaN,NaN,NaN,NaN,0,20.1,3.955997,0,-19.70685,-0.9804,0,0.1968,-688.0096,0,1,0,0,-0.1968,0,-0.9804,-357.9785,0,0,0,1
658.2603,658.26,0.017044,0.015952,668.7953,-687.9306,0,-358.3727,1.781794,1.781794,1.060195,NaN,NaN,NaN,NaN,0,20.1,3.948704,0,-19.70832,-0.9805,0,0.1965,-687.9306,0,1,0,0,-0.1965,0,-0.9805,-358.3727,0,0,0,1
658.2788,658.27,0.018536,0.016469,668.8135,-687.8912,0,-358.5697,1.781423,1.781423,1.023574,NaN,NaN,NaN,NaN,0,20.1,3.945183,0,-19.70902,-0.9805,0,0.1963,-687.8912,0,1,0,0,-0.1963,0,-0.9805,-358.5697,0,0,0,1
658.3013,658.3,0.022441,0.017663,668.8369,-687.773,0,-359.161,1.780364,1.780364,0.972304,NaN,NaN,NaN,NaN,0,20.1,3.935149,0,-19.71103,-0.9806,0,0.1958,-687.773,0,1,0,0,-0.1958,0,-0.9806,-359.161,0,0,0,1
658.3167,658.31,0.015441,0.017219,668.8513,-687.7337,0,-359.3582,1.780053,1.780053,0.906386,NaN,NaN,NaN,NaN,0,20.1,3.932031,0,-19.71165,-0.9807,0,0.1956,-687.7337,0,1,0,0,-0.1956,0,-0.9807,-359.3582,0,0,0,1
658.332,658.33,0.015312,0.016838,668.8687,-687.6552,0,-359.7524,1.779616,1.779616,0.869765,NaN,NaN,NaN,NaN,0,20.1,3.926046,0,-19.71284,-0.9807,0,0.1953,-687.6552,0,1,0,0,-0.1953,0,-0.9807,-359.7524,0,0,0,1
658.3555,658.35,0.023435,0.018157,668.8906,-687.5767,0,-360.1467,1.779245,1.779245,0.814834,NaN,NaN,NaN,NaN,0,20.1,3.920439,0,-19.71396,-0.9808,0,0.195,-687.5767,0,1,0,0,-0.195,0,-0.9808,-360.1467,0,0,0,1
658.3793,658.37,0.023816,0.019289,668.9143,-687.4984,0,-360.541,1.778994,1.778994,0.734267,NaN,NaN,NaN,NaN,0,20.1,3.915385,0,-19.71496,-0.9808,0,0.1948,-687.4984,0,1,0,0,-0.1948,0,-0.9808,-360.541,0,0,0,1
658.4,658.39,0.020691,0.019569,668.9359,-687.4202,0,-360.9353,1.778808,1.778808,0.664687,NaN,NaN,NaN,NaN,0,20.1,3.910812,0,-19.71587,-0.9809,0,0.1946,-687.4202,0,1,0,0,-0.1946,0,-0.9809,-360.9353,0,0,0,1
658.418,658.41,0.017998,0.019255,668.9532,-687.342,0,-361.3296,1.778808,1.778808,0.580459,NaN,NaN,NaN,NaN,0,20.1,3.906817,0,-19.71666,-0.9809,0,0.1944,-687.342,0,1,0,0,-0.1944,0,-0.9809,-361.3296,0,0,0,1
658.4344,658.43,0.016478,0.0187,668.9704,-687.2639,0,-361.724,1.778748,1.778748,0.47792,NaN,NaN,NaN,NaN,0,20.1,3.903527,0,-19.71731,-0.981,0,0.1942,-687.2639,0,1,0,0,-0.1942,0,-0.981,-361.724,0,0,0,1
658.454,658.45,0.019528,0.018865,668.9893,-687.1859,0,-362.1183,1.778808,1.778808,0.357056,NaN,NaN,NaN,NaN,0,20.1,3.901071,0,-19.7178,-0.981,0,0.1941,-687.1859,0,1,0,0,-0.1941,0,-0.981,-362.1183,0,0,0,1
658.4774,658.47,0.023402,0.019773,669.0126,-687.1079,0,-362.5127,1.778934,1.778934,0.221558,NaN,NaN,NaN,NaN,0,20.1,3.899545,0,-19.71811,-0.981,0,0.194,-687.1079,0,1,0,0,-0.194,0,-0.981,-362.5127,0,0,0,1
658.5016,658.5,0.02422,0.020662,669.0372,-686.9909,0,-363.1042,1.778994,1.778994,0.027466,NaN,NaN,NaN,NaN,0,20.1,3.899261,0,-19.71816,-0.981,0,0.194,-686.9909,0,1,0,0,-0.194,0,-0.981,-363.1042,0,0,0,1
658.517,658.51,0.015416,0.019613,669.0519,-686.9519,0,-363.3014,1.779059,1.779059,-0.148315,NaN,NaN,NaN,NaN,0,20.1,3.899772,0,-19.71806,-0.981,0,0.194,-686.9519,0,1,0,0,-0.194,0,-0.981,-363.3014,0,0,0,1
658.5347,658.53,0.017659,0.019222,669.0706,-686.8739,0,-363.6957,1.779119,1.779119,-0.250862,NaN,NaN,NaN,NaN,0,20.1,3.901499,0,-19.71772,-0.981,0,0.1941,-686.8739,0,1,0,0,-0.1941,0,-0.981,-363.6957,0,0,0,1
658.5534,658.55,0.018727,0.019123,669.0885,-686.7958,0,-364.0901,1.779119,1.779119,-0.368049,NaN,NaN,NaN,NaN,0,20.1,3.904032,0,-19.71722,-0.981,0,0.1942,-686.7958,0,1,0,0,-0.1942,0,-0.981,-364.0901,0,0,0,1
658.577,658.57,0.023628,0.020024,669.1126,-686.7177,0,-364.4844,1.779059,1.779059,-0.47425,NaN,NaN,NaN,NaN,0,20.1,3.907296,0,-19.71657,-0.9809,0,0.1944,-686.7177,0,1,0,0,-0.1944,0,-0.9809,-364.4844,0,0,0,1
658.5936,658.59,0.016533,0.019326,669.1287,-686.6395,0,-364.8787,1.778934,1.778934,-0.606086,NaN,NaN,NaN,NaN,0,20.1,3.911467,0,-19.71574,-0.9809,0,0.1946,-686.6395,0,1,0,0,-0.1946,0,-0.9809,-364.8787,0,0,0,1
658.611,658.61,0.017414,0.018944,669.1462,-686.5612,0,-365.273,1.778682,1.778682,-0.693977,NaN,NaN,NaN,NaN,0,20.1,3.916243,0,-19.7148,-0.9808,0,0.1948,-686.5612,0,1,0,0,-0.1948,0,-0.9808,-365.273,0,0,0,1
658.626,658.62,0.015027,0.01816,669.1608,-686.522,0,-365.4702,1.778557,1.778557,-0.792861,NaN,NaN,NaN,NaN,0,20.1,3.918971,0,-19.71426,-0.9808,0,0.195,-686.522,0,1,0,0,-0.195,0,-0.9808,-365.4702,0,0,0,1
658.6427,658.64,0.016696,0.017867,669.1779,-686.4435,0,-365.8644,1.778126,1.778126,-0.862441,NaN,NaN,NaN,NaN,0,20.1,3.924906,0,-19.71307,-0.9807,0,0.1953,-686.4435,0,1,0,0,-0.1953,0,-0.9807,-365.8644,0,0,0,1
658.6595,658.65,0.016799,0.017654,669.1941,-686.4042,0,-366.0616,1.777874,1.777874,-0.96498,NaN,NaN,NaN,NaN,0,20.1,3.928226,0,-19.71241,-0.9807,0,0.1954,-686.4042,0,1,0,0,-0.1954,0,-0.9807,-366.0616,0,0,0,1
658.6768,658.67,0.017283,0.01758,669.2119,-686.3255,0,-366.4558,1.777252,1.777252,-1.067519,NaN,NaN,NaN,NaN,0,20.1,3.935571,0,-19.71095,-0.9806,0,0.1958,-686.3255,0,1,0,0,-0.1958,0,-0.9806,-366.4558,0,0,0,1
658.699,658.69,0.022204,0.018505,669.234,-686.2467,0,-366.85,1.776504,1.776504,-1.192038,NaN,NaN,NaN,NaN,0,20.1,3.943773,0,-19.7093,-0.9806,0,0.1962,-686.2467,0,1,0,0,-0.1962,0,-0.9806,-366.85,0,0,0,1
658.7145,658.71,0.015576,0.017919,669.2499,-686.1677,0,-367.2441,1.77557,1.77557,-1.38613,NaN,NaN,NaN,NaN,0,20.1,3.953308,0,-19.7074,-0.9805,0,0.1967,-686.1677,0,1,0,0,-0.1967,0,-0.9805,-367.2441,0,0,0,1
658.7296,658.72,0.01503,0.017341,669.2642,-686.1281,0,-367.4412,1.774948,1.774948,-1.554587,NaN,NaN,NaN,NaN,0,20.1,3.958656,0,-19.70633,-0.9804,0,0.1969,-686.1281,0,1,0,0,-0.1969,0,-0.9804,-367.4412,0,0,0,1
658.744,658.74,0.014364,0.016746,669.2794,-686.0486,0,-367.8353,1.773517,1.773517,-1.7377,NaN,NaN,NaN,NaN,0,20.1,3.970608,0,-19.70392,-0.9803,0,0.1975,-686.0486,0,1,0,0,-0.1975,0,-0.9803,-367.8353,0,0,0,1
658.7577,658.75,0.013782,0.016153,669.2924,-686.0089,0,-368.0323,1.772835,1.772835,-1.942778,NaN,NaN,NaN,NaN,0,20.1,3.977288,0,-19.70257,-0.9802,0,0.1979,-686.0089,0,1,0,0,-0.1979,0,-0.9802,-368.0323,0,0,0,1
658.777,658.77,0.019297,0.016782,669.3118,-685.9291,0,-368.4263,1.771093,1.771093,-2.151525,NaN,NaN,NaN,NaN,0,20.1,3.992085,0,-19.69958,-0.9801,0,0.1986,-685.9291,0,1,0,0,-0.1986,0,-0.9801,-368.4263,0,0,0,1
658.7983,658.79,0.021308,0.017687,669.3333,-685.849,0,-368.8203,1.76904,1.76904,-2.510412,NaN,NaN,NaN,NaN,0,20.1,4.009346,0,-19.69607,-0.9799,0,0.1995,-685.849,0,1,0,0,-0.1995,0,-0.9799,-368.8203,0,0,0,1
658.8116,658.81,0.013313,0.016812,669.3467,-685.7685,0,-369.2141,1.766611,1.766611,-2.891278,NaN,NaN,NaN,NaN,0,20.1,4.029222,0,-19.69201,-0.9797,0,0.2005,-685.7685,0,1,0,0,-0.2005,0,-0.9797,-369.2141,0,0,0,1
658.8262,658.82,0.014536,0.016357,669.3608,-685.7281,0,-369.411,1.76524,1.76524,-3.136647,NaN,NaN,NaN,NaN,0,20.1,4.040001,0,-19.6898,-0.9796,0,0.201,-685.7281,0,1,0,0,-0.201,0,-0.9796,-369.411,0,0,0,1
658.8398,658.83,0.01368,0.015822,669.3745,-685.6876,0,-369.6079,1.76369,1.76369,-3.407643,NaN,NaN,NaN,NaN,0,20.1,4.051711,0,-19.6874,-0.9795,0,0.2016,-685.6876,0,1,0,0,-0.2016,0,-0.9795,-369.6079,0,0,0,1
658.8527,658.85,0.012898,0.015237,669.3876,-685.6061,0,-370.0016,1.760326,1.760326,-3.649349,NaN,NaN,NaN,NaN,0,20.1,4.076787,0,-19.68222,-0.9792,0,0.2028,-685.6061,0,1,0,0,-0.2028,0,-0.9792,-370.0016,0,0,0,1
658.8657,658.86,0.012907,0.014771,669.4036,-685.5652,0,-370.1984,1.758399,1.758399,-3.872738,NaN,NaN,NaN,NaN,0,20.1,4.090089,0,-19.67946,-0.9791,0,0.2035,-685.5652,0,1,0,0,-0.2035,0,-0.9791,-370.1984,0,0,0,1
658.8909,658.89,0.025285,0.016874,669.4265,-685.4417,0,-370.7886,1.751863,1.751863,-4.055851,NaN,NaN,NaN,NaN,0,20.1,4.131873,0,-19.67074,-0.9786,0,0.2056,-685.4417,0,1,0,0,-0.2056,0,-0.9786,-370.7886,0,0,0,1
658.905,658.9,0.014055,0.01631,669.4398,-685.4003,0,-370.9853,1.74938,1.74938,-4.38544,NaN,NaN,NaN,NaN,0,20.1,4.146927,0,-19.66757,-0.9785,0,0.2063,-685.4003,0,1,0,0,-0.2063,0,-0.9785,-370.9853,0,0,0,1
658.92,658.92,0.015043,0.016057,669.4551,-685.3168,0,-371.3786,1.743963,1.743963,-4.539256,NaN,NaN,NaN,NaN,0,20.1,4.178085,0,-19.66097,-0.9782,0,0.2079,-685.3168,0,1,0,0,-0.2079,0,-0.9782,-371.3786,0,0,0,1
658.9332,658.93,0.013131,0.015471,669.468,-685.2749,0,-371.5751,1.740977,1.740977,-4.645457,NaN,NaN,NaN,NaN,0,20.1,4.194025,0,-19.65758,-0.978,0,0.2087,-685.2749,0,1,0,0,-0.2087,0,-0.978,-371.5751,0,0,0,1
658.9462,658.94,0.012979,0.014973,669.4807,-685.2328,0,-371.7717,1.737865,1.737865,-4.726024,NaN,NaN,NaN,NaN,0,20.1,4.210238,0,-19.65411,-0.9778,0,0.2095,-685.2328,0,1,0,0,-0.2095,0,-0.9778,-371.7717,0,0,0,1
