time,fixedTime,deltaTime,smoothDeltaTime,realtimeSinceStartup,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,car_speed,car_vel_x,car_vel_y,car_vel_z,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
135.1616,135.16,0.015143,0.015881,145.704,-307.7384,0,-288.3748,1.84437,1.84437,0.752578,-289.7321,0.25,-345.6334,59.70976,0,20.1,3.6853,0,-19.75927,-0.983,0,0.1833,-307.7384,0,1,0,0,-0.1833,0,-0.983,-288.3748,0,0,0,1
135.1832,135.18,0.021661,0.017037,145.7184,-307.6647,0,-288.7701,1.852257,1.852257,0.664687,-289.7321,0.25,-345.6334,59.31055,0,20.1,3.680715,0,-19.76012,-0.9831,0,0.1831,-307.6647,0,1,0,0,-0.1831,0,-0.9831,-288.7701,0,0,0,1
135.1994,135.19,0.016123,0.016854,145.7339,-307.628,0,-288.9677,1.856272,1.856272,0.613418,-289.7321,0.25,-345.6334,59.11097,0,20.1,3.6786,0,-19.76052,-0.9831,0,0.183,-307.628,0,1,0,0,-0.183,0,-0.9831,-288.9677,0,0,0,1
135.2134,135.21,0.014067,0.016297,145.7487,-307.5544,0,-289.3629,1.86431,1.86431,0.540175,-289.7321,0.25,-345.6334,58.71186,0,20.1,3.674873,0,-19.76121,-0.9831,0,0.1828,-307.5544,0,1,0,0,-0.1828,0,-0.9831,-289.3629,0,0,0,1
135.2269,135.22,0.013517,0.015741,145.7614,-307.5177,0,-289.5605,1.868332,1.868332,0.437622,-289.7321,0.25,-345.6334,58.51233,0,20.1,3.673364,0,-19.76149,-0.9832,0,0.1828,-307.5177,0,1,0,0,-0.1828,0,-0.9832,-289.5605,0,0,0,1
135.2467,135.24,0.01981,0.016555,145.7822,-307.4443,0,-289.9557,1.876466,1.876466,0.357056,-289.7321,0.25,-345.6334,58.11325,0,20.1,3.670902,0,-19.76195,-0.9832,0,0.1826,-307.4443,0,1,0,0,-0.1826,0,-0.9832,-289.9557,0,0,0,1
135.2614,135.26,0.014661,0.016176,145.7963,-307.3709,0,-290.351,1.884629,1.884629,0.214233,-289.7321,0.25,-345.6334,57.71422,0,20.1,3.669423,0,-19.76222,-0.9832,0,0.1826,-307.3709,0,1,0,0,-0.1826,0,-0.9832,-290.351,0,0,0,1
135.2752,135.27,0.013773,0.015695,145.8098,-307.3342,0,-290.5486,1.888741,1.888741,0.100708,-289.7321,0.25,-345.6334,57.51472,0,20.1,3.669076,0,-19.76229,-0.9832,0,0.1825,-307.3342,0,1,0,0,-0.1825,0,-0.9832,-290.5486,0,0,0,1
135.2888,135.28,0.013567,0.01527,145.8235,-307.2975,0,-290.7462,1.892829,1.892829,-0.009155,-289.7321,0.25,-345.6334,57.31524,0,20.1,3.669108,0,-19.76229,-0.9832,0,0.1825,-307.2975,0,1,0,0,-0.1825,0,-0.9832,-290.7462,0,0,0,1
135.3042,135.3,0.01543,0.015302,145.8392,-307.2241,0,-291.1415,1.900993,1.900993,-0.108032,-289.7321,0.25,-345.6334,56.91629,0,20.1,3.669852,0,-19.76214,-0.9832,0,0.1826,-307.2241,0,1,0,0,-0.1826,0,-0.9832,-291.1415,0,0,0,1
