experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,turn_direction,turn_radius,obstacle_visibility,divergence,speed_level,speed_LvCounter,carSpeed,steerAngleAtTrialStart,x_rotAtTrialStart,y_rotAtTrialStart,z_rotAtTrialStart,cws_threshold_detection_distance,cws_warning_volume,cws_sensing_type,cws_warning_type,collision_has_occurred,time_of_collision,time_of_warning,road_vertices_location_0,roadTransformMat_location_0,simplecar_carTransformMatrix_location_0
cws_1,test,1,36,2,36,231.52,236.25,left,64.41756,0.5,1.71,25.5,1,25,-2.997479,0,0.359806,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T036.csv,cws_1/test/S001/trackers/roadTransformMat_T036.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T036.csv
cws_1,test,1,37,2,37,237.03,241.62,left,50.89964,0.2,2.22,27,0,25,2.440839,0,0.739364,0,20,0.5,distance_threshold,auditory loom,False,NaN,241.3136,cws_1/test/S001/trackers/road_vertices_T037.csv,cws_1/test/S001/trackers/roadTransformMat_T037.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T037.csv
cws_1,test,1,38,2,38,242.4,247.49,left,65.56192,1,1.43,27,1,25,1.188369,0,0.982762,0,20,0.5,distance_threshold,auditory loom,False,NaN,247.1789,cws_1/test/S001/trackers/road_vertices_T038.csv,cws_1/test/S001/trackers/roadTransformMat_T038.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T038.csv
cws_1,test,1,39,2,39,248.27,253.36,left,65.56192,1,2.04,28.5,0,25,-2.565343,0,0.963699,0,20,0.5,distance_threshold,auditory loom,False,NaN,253.031,cws_1/test/S001/trackers/road_vertices_T039.csv,cws_1/test/S001/trackers/roadTransformMat_T039.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T039.csv
cws_1,test,1,40,2,40,254.14,259.13,right,50.1129,0.5,1.44,28.5,1,25,-0.829482,0,0.743065,0,20,0.5,distance_threshold,auditory loom,False,NaN,258.8503,cws_1/test/S001/trackers/road_vertices_T040.csv,cws_1/test/S001/trackers/roadTransformMat_T040.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T040.csv
cws_1,test,1,41,2,41,259.91,264.48,left,50.89964,0.2,1.72,30,0,25,-3.165944,0,0.989737,0,20,0.5,distance_threshold,auditory loom,False,NaN,264.1702,cws_1/test/S001/trackers/road_vertices_T041.csv,cws_1/test/S001/trackers/roadTransformMat_T041.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T041.csv
cws_1,test,1,42,2,42,265.26,270.13,left,59.5071,0,1.51,30,1,25,-0.547493,0,0.763888,0,20,0.5,distance_threshold,auditory loom,False,NaN,269.8234,cws_1/test/S001/trackers/road_vertices_T042.csv,cws_1/test/S001/trackers/roadTransformMat_T042.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T042.csv
cws_1,test,1,43,2,43,270.91,275.56,left,59.5071,0,0.52,31.5,0,25,1.166396,0,0.349805,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T043.csv,cws_1/test/S001/trackers/roadTransformMat_T043.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T043.csv
cws_1,test,1,44,2,44,276.34,280.92,right,58.88199,0,2.26,31.5,1,25,0.346069,0,-0.139045,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T044.csv,cws_1/test/S001/trackers/roadTransformMat_T044.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T044.csv
cws_1,test,1,45,2,45,281.7,286.23,right,43.18018,0.2,2.52,33,0,25,-0.210571,0,0.333343,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T045.csv,cws_1/test/S001/trackers/roadTransformMat_T045.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T045.csv
cws_1,test,1,46,2,46,287.01,292.49,left,50.89964,0.2,1.8,33,1,25,1.338515,0,0.855615,0,20,0.5,distance_threshold,auditory loom,False,NaN,292.1696,cws_1/test/S001/trackers/road_vertices_T046.csv,cws_1/test/S001/trackers/roadTransformMat_T046.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T046.csv
cws_1,test,1,47,2,47,293.27,298.22,left,65.56192,1,1.63,34.5,0,25,-0.023804,0,0.444391,0,20,0.5,distance_threshold,auditory loom,False,NaN,297.9002,cws_1/test/S001/trackers/road_vertices_T047.csv,cws_1/test/S001/trackers/roadTransformMat_T047.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T047.csv
cws_1,test,1,48,2,48,299,303.98,right,58.88199,0,0.92,34.5,1,25,0.22522,0,0.012787,0,20,0.5,distance_threshold,auditory loom,False,NaN,303.7091,cws_1/test/S001/trackers/road_vertices_T048.csv,cws_1/test/S001/trackers/roadTransformMat_T048.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T048.csv
cws_1,test,1,49,2,49,304.76,309.32,right,57.64607,1,2.4,36,0,25,1.47769,0,0.483263,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_1/test/S001/trackers/road_vertices_T049.csv,cws_1/test/S001/trackers/roadTransformMat_T049.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T049.csv
cws_1,test,1,50,2,50,310.1,315.09,right,57.64607,1,1.12,36,1,25,0.108032,0,0.854851,0,20,0.5,distance_threshold,auditory loom,False,NaN,314.8044,cws_1/test/S001/trackers/road_vertices_T050.csv,cws_1/test/S001/trackers/roadTransformMat_T050.csv,cws_1/test/S001/trackers/simplecar_carTransformMatrix_T050.csv
