time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
26.22959,-0.062759,0,19.03314,0.062759,-0.062759,0.206909,NaN,NaN,NaN,NaN,0,0.9999,0,0.0117,-0.0628,0,1,0,0,-0.0117,0,0.9999,19.0331,0,0,0,1
26.25843,-0.058355,0,19.40511,0.058355,-0.058355,0.327759,NaN,NaN,NaN,NaN,0,0.9999,0,0.0119,-0.0584,0,1,0,0,-0.0119,0,0.9999,19.4051,0,0,0,1
26.26751,-0.056862,0,19.5299,0.056862,-0.056862,0.393677,NaN,NaN,NaN,NaN,0,0.9999,0,0.012,-0.0569,0,1,0,0,-0.012,0,0.9999,19.5299,0,0,0,1
26.2742,-0.055354,0,19.65509,0.055354,-0.055354,0.444946,NaN,NaN,NaN,NaN,0,0.9999,0,0.012,-0.0554,0,1,0,0,-0.012,0,0.9999,19.6551,0,0,0,1
26.28112,-0.053831,0,19.78069,0.053831,-0.053831,0.474258,NaN,NaN,NaN,NaN,0,0.9999,0,0.0121,-0.0538,0,1,0,0,-0.0121,0,0.9999,19.7807,0,0,0,1
26.29245,-0.052292,0,19.90668,0.052292,-0.052292,0.521865,NaN,NaN,NaN,NaN,0,0.9999,0,0.0122,-0.0523,0,1,0,0,-0.0122,0,0.9999,19.9067,0,0,0,1
26.30698,-0.050735,0,20.03307,0.050735,-0.050735,0.584121,NaN,NaN,NaN,NaN,0,0.9999,0,0.0123,-0.0507,0,1,0,0,-0.0123,0,0.9999,20.0331,0,0,0,1
26.31848,-0.049158,0,20.15986,0.049158,-0.049158,0.657363,NaN,NaN,NaN,NaN,0,0.9999,0,0.0124,-0.0492,0,1,0,0,-0.0124,0,0.9999,20.1599,0,0,0,1
26.32905,-0.047562,0,20.28705,0.047562,-0.047562,0.690322,NaN,NaN,NaN,NaN,0,0.9999,0,0.0126,-0.0476,0,1,0,0,-0.0126,0,0.9999,20.2871,0,0,0,1
26.33842,-0.045944,0,20.41464,0.045944,-0.045944,0.730605,NaN,NaN,NaN,NaN,0,0.9999,0,0.0127,-0.0459,0,1,0,0,-0.0127,0,0.9999,20.4146,0,0,0,1
26.34769,-0.044304,0,20.54263,0.044304,-0.044304,0.752578,NaN,NaN,NaN,NaN,0,0.9999,0,0.0128,-0.0443,0,1,0,0,-0.0128,0,0.9999,20.5426,0,0,0,1
26.35895,-0.042642,0,20.67101,0.042642,-0.042642,0.759902,NaN,NaN,NaN,NaN,0,0.9999,0,0.0129,-0.0426,0,1,0,0,-0.0129,0,0.9999,20.671,0,0,0,1
26.37005,-0.039249,0,20.92899,0.039249,-0.039249,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.0132,-0.0392,0,1,0,0,-0.0132,0,0.9999,20.929,0,0,0,1
26.38109,-0.037519,0,21.05858,0.037519,-0.037519,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.0134,-0.0375,0,1,0,0,-0.0134,0,0.9999,21.0586,0,0,0,1
26.39233,-0.035766,0,21.18857,0.035766,-0.035766,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.0135,-0.0358,0,1,0,0,-0.0135,0,0.9999,21.1886,0,0,0,1
26.40339,-0.033989,0,21.31896,0.033989,-0.033989,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.0136,-0.034,0,1,0,0,-0.0136,0,0.9999,21.319,0,0,0,1
26.41443,-0.032189,0,21.44974,0.032189,-0.032189,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.0138,-0.0322,0,1,0,0,-0.0138,0,0.9999,21.4497,0,0,0,1
26.42567,-0.030366,0,21.58093,0.030366,-0.030366,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.0139,-0.0304,0,1,0,0,-0.0139,0,0.9999,21.5809,0,0,0,1
26.43671,-0.02852,0,21.71252,0.02852,-0.02852,0.778213,NaN,NaN,NaN,NaN,0,0.9999,0,0.014,-0.0285,0,1,0,0,-0.014,0,0.9999,21.7125,0,0,0,1
26.44809,-0.02665,0,21.8445,0.02665,-0.02665,0.781875,NaN,NaN,NaN,NaN,0,0.9999,0,0.0142,-0.0266,0,1,0,0,-0.0142,0,0.9999,21.8445,0,0,0,1
26.45882,-0.024756,0,21.97689,0.024756,-0.024756,0.785537,NaN,NaN,NaN,NaN,0,0.9999,0,0.0143,-0.0248,0,1,0,0,-0.0143,0,0.9999,21.9769,0,0,0,1
26.46992,-0.022838,0,22.10968,0.022838,-0.022838,0.807509,NaN,NaN,NaN,NaN,0,0.9999,0,0.0144,-0.0228,0,1,0,0,-0.0144,0,0.9999,22.1097,0,0,0,1
26.48125,-0.018926,0,22.37645,0.018926,-0.018926,0.82582,NaN,NaN,NaN,NaN,0,0.9999,0,0.0147,-0.0189,0,1,0,0,-0.0147,0,0.9999,22.3765,0,0,0,1
26.4922,-0.016932,0,22.51043,0.016932,-0.016932,0.829482,NaN,NaN,NaN,NaN,0,0.9999,0,0.0149,-0.0169,0,1,0,0,-0.0149,0,0.9999,22.5104,0,0,0,1
26.5033,-0.014913,0,22.64482,0.014913,-0.014913,0.833144,NaN,NaN,NaN,NaN,0,0.9999,0,0.015,-0.0149,0,1,0,0,-0.015,0,0.9999,22.6448,0,0,0,1
26.51445,-0.012868,0,22.7796,0.012868,-0.012868,0.833144,NaN,NaN,NaN,NaN,0,0.9999,0,0.0152,-0.0129,0,1,0,0,-0.0152,0,0.9999,22.7796,0,0,0,1
26.52545,-0.010798,0,22.91479,0.010798,-0.010798,0.833144,NaN,NaN,NaN,NaN,0,0.9999,0,0.0153,-0.0108,0,1,0,0,-0.0153,0,0.9999,22.9148,0,0,0,1
26.53671,-0.008701,0,23.05037,0.008701,-0.008701,0.833144,NaN,NaN,NaN,NaN,0,0.9999,0,0.0155,-0.0087,0,1,0,0,-0.0155,0,0.9999,23.0504,0,0,0,1
