time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
126.2495,512.4623,0,-614.759,1.389441,1.389441,1.931791,510.2096,0.25,-537.0947,77.44027,0,-0.9937,0,0.1124,512.4623,0,1,0,0,-0.1124,0,-0.9937,-614.759,0,0,0,1
126.2608,512.5183,0,-615.2559,1.384328,1.384328,1.979399,510.2096,0.25,-537.0947,77.93839,0,-0.9937,0,0.1118,512.5183,0,1,0,0,-0.1118,0,-0.9937,-615.2559,0,0,0,1
126.2722,512.5461,0,-615.5043,1.381936,1.381936,2.023344,510.2096,0.25,-537.0947,78.18752,0,-0.9938,0,0.1114,512.5461,0,1,0,0,-0.1114,0,-0.9938,-615.5043,0,0,0,1
126.2828,512.5739,0,-615.7528,1.379604,1.379604,2.048979,510.2096,0.25,-537.0947,78.43665,0,-0.9938,0,0.1111,512.5739,0,1,0,0,-0.1111,0,-0.9938,-615.7528,0,0,0,1
126.2939,512.6016,0,-616.0013,1.377399,1.377399,2.092924,510.2096,0.25,-537.0947,78.68578,0,-0.9939,0,0.1107,512.6016,0,1,0,0,-0.1107,0,-0.9939,-616.0013,0,0,0,1
126.3061,512.6292,0,-616.2498,1.375249,1.375249,2.147856,510.2096,0.25,-537.0947,78.93491,0,-0.9939,0,0.1103,512.6292,0,1,0,0,-0.1103,0,-0.9939,-616.2498,0,0,0,1
126.3161,512.6566,0,-616.4982,1.373227,1.373227,2.221098,510.2096,0.25,-537.0947,79.18405,0,-0.9939,0,0.1099,512.6566,0,1,0,0,-0.1099,0,-0.9939,-616.4982,0,0,0,1
126.3273,512.684,0,-616.7467,1.371259,1.371259,2.287016,510.2096,0.25,-537.0947,79.43319,0,-0.994,0,0.1095,512.684,0,1,0,0,-0.1095,0,-0.994,-616.7467,0,0,0,1
126.344,512.7385,0,-617.2438,1.3677,1.3677,2.389569,510.2096,0.25,-537.0947,79.9316,0,-0.9941,0,0.1087,512.7385,0,1,0,0,-0.1087,0,-0.9941,-617.2438,0,0,0,1
126.3583,512.7655,0,-617.4923,1.366109,1.366109,2.47746,510.2096,0.25,-537.0947,80.18081,0,-0.9941,0,0.1083,512.7655,0,1,0,0,-0.1083,0,-0.9941,-617.4923,0,0,0,1
126.3669,512.7925,0,-617.7408,1.364572,1.364572,2.59831,510.2096,0.25,-537.0947,80.43002,0,-0.9942,0,0.1078,512.7925,0,1,0,0,-0.1078,0,-0.9942,-617.7408,0,0,0,1
126.3742,512.8193,0,-617.9894,1.363163,1.363163,2.671552,510.2096,0.25,-537.0947,80.67923,0,-0.9942,0,0.1074,512.8193,0,1,0,0,-0.1074,0,-0.9942,-617.9894,0,0,0,1
126.3824,512.8461,0,-618.238,1.361876,1.361876,2.744794,510.2096,0.25,-537.0947,80.9285,0,-0.9943,0,0.1069,512.8461,0,1,0,0,-0.1069,0,-0.9943,-618.238,0,0,0,1
126.394,512.8727,0,-618.4866,1.36077,1.36077,2.814374,510.2096,0.25,-537.0947,81.17778,0,-0.9943,0,0.1064,512.8727,0,1,0,0,-0.1064,0,-0.9943,-618.4866,0,0,0,1
126.4042,512.8992,0,-618.7352,1.359726,1.359726,2.938886,510.2096,0.25,-537.0947,81.42706,0,-0.9944,0,0.1059,512.8992,0,1,0,0,-0.1059,0,-0.9944,-618.7352,0,0,0,1
126.4156,512.9255,0,-618.9838,1.358809,1.358809,3.041425,510.2096,0.25,-537.0947,81.67633,0,-0.9944,0,0.1054,512.9255,0,1,0,0,-0.1054,0,-0.9944,-618.9838,0,0,0,1
126.4267,512.9517,0,-619.2324,1.358074,1.358074,3.180585,510.2096,0.25,-537.0947,81.92561,0,-0.9945,0,0.1048,512.9517,0,1,0,0,-0.1048,0,-0.9945,-619.2324,0,0,0,1
126.4383,512.9778,0,-619.481,1.357461,1.357461,3.323421,510.2096,0.25,-537.0947,82.17495,0,-0.9946,0,0.1042,512.9778,0,1,0,0,-0.1042,0,-0.9946,-619.481,0,0,0,1
126.4486,513.0037,0,-619.7297,1.357029,1.357029,3.400326,510.2096,0.25,-537.0947,82.42428,0,-0.9946,0,0.1036,513.0037,0,1,0,0,-0.1036,0,-0.9946,-619.7297,0,0,0,1
126.4598,513.0294,0,-619.9783,1.35672,1.35672,3.495541,510.2096,0.25,-537.0947,82.67361,0,-0.9947,0,0.103,513.0294,0,1,0,0,-0.103,0,-0.9947,-619.9783,0,0,0,1
126.4711,513.0804,0,-620.4758,1.356598,1.356598,3.605404,510.2096,0.25,-537.0947,83.17241,0,-0.9948,0,0.1018,513.0804,0,1,0,0,-0.1018,0,-0.9948,-620.4758,0,0,0,1
126.4821,513.1057,0,-620.7244,1.35678,1.35678,3.682308,510.2096,0.25,-537.0947,83.42174,0,-0.9949,0,0.1011,513.1057,0,1,0,0,-0.1011,0,-0.9949,-620.7244,0,0,0,1
126.4933,513.1309,0,-620.9731,1.35709,1.35709,3.759212,510.2096,0.25,-537.0947,83.67113,0,-0.9949,0,0.1005,513.1309,0,1,0,0,-0.1005,0,-0.9949,-620.9731,0,0,0,1
126.5044,513.1558,0,-621.2219,1.357582,1.357582,3.832455,510.2096,0.25,-537.0947,83.92059,0,-0.995,0,0.0998,513.1558,0,1,0,0,-0.0998,0,-0.995,-621.2219,0,0,0,1
126.5154,513.1806,0,-621.4707,1.358256,1.358256,3.8764,510.2096,0.25,-537.0947,84.17003,0,-0.9951,0,0.0991,513.1806,0,1,0,0,-0.0991,0,-0.9951,-621.4707,0,0,0,1
126.5265,513.2052,0,-621.7195,1.359113,1.359113,3.902035,510.2096,0.25,-537.0947,84.41948,0,-0.9951,0,0.0985,513.2052,0,1,0,0,-0.0985,0,-0.9951,-621.7195,0,0,0,1
126.5376,513.2297,0,-621.9683,1.360096,1.360096,3.920345,510.2096,0.25,-537.0947,84.66892,0,-0.9952,0,0.0978,513.2297,0,1,0,0,-0.0978,0,-0.9952,-621.9683,0,0,0,1
126.5485,513.254,0,-622.2171,1.361262,1.361262,3.924007,510.2096,0.25,-537.0947,84.91843,0,-0.9953,0,0.0971,513.254,0,1,0,0,-0.0971,0,-0.9953,-622.2171,0,0,0,1
126.5597,513.2781,0,-622.4659,1.362611,1.362611,3.924007,510.2096,0.25,-537.0947,85.16793,0,-0.9953,0,0.0964,513.2781,0,1,0,0,-0.0964,0,-0.9953,-622.4659,0,0,0,1
126.5708,513.3257,0,-622.9636,1.36586,1.36586,3.924007,510.2096,0.25,-537.0947,85.66692,0,-0.9955,0,0.0951,513.3257,0,1,0,0,-0.0951,0,-0.9955,-622.9636,0,0,0,1
126.5818,513.3494,0,-623.2125,1.3677,1.3677,3.924007,510.2096,0.25,-537.0947,85.91647,0,-0.9955,0,0.0944,513.3494,0,1,0,0,-0.0944,0,-0.9955,-623.2125,0,0,0,1
126.5931,513.3728,0,-623.4614,1.369729,1.369729,3.924007,510.2096,0.25,-537.0947,86.16602,0,-0.9956,0,0.0937,513.3728,0,1,0,0,-0.0937,0,-0.9956,-623.4614,0,0,0,1
126.6043,513.3961,0,-623.7103,1.371933,1.371933,3.924007,510.2096,0.25,-537.0947,86.41557,0,-0.9957,0,0.093,513.3961,0,1,0,0,-0.093,0,-0.9957,-623.7103,0,0,0,1
126.6152,513.4191,0,-623.9593,1.374326,1.374326,3.924007,510.2096,0.25,-537.0947,86.66517,0,-0.9957,0,0.0923,513.4191,0,1,0,0,-0.0923,0,-0.9957,-623.9593,0,0,0,1
126.6262,513.442,0,-624.2083,1.376907,1.376907,3.924007,510.2096,0.25,-537.0947,86.91477,0,-0.9958,0,0.0917,513.442,0,1,0,0,-0.0917,0,-0.9958,-624.2083,0,0,0,1
126.6376,513.4648,0,-624.4572,1.379604,1.379604,3.924007,510.2096,0.25,-537.0947,87.16437,0,-0.9959,0,0.091,513.4648,0,1,0,0,-0.091,0,-0.9959,-624.4572,0,0,0,1
126.6494,513.4874,0,-624.7062,1.382488,1.382488,3.924007,510.2096,0.25,-537.0947,87.41396,0,-0.9959,0,0.0903,513.4874,0,1,0,0,-0.0903,0,-0.9959,-624.7062,0,0,0,1
126.6596,513.5098,0,-624.9552,1.385555,1.385555,3.942318,510.2096,0.25,-537.0947,87.66361,0,-0.996,0,0.0896,513.5098,0,1,0,0,-0.0896,0,-0.996,-624.9552,0,0,0,1
126.6745,513.554,0,-625.4532,1.392242,1.392242,3.967953,510.2096,0.25,-537.0947,88.1629,0,-0.9961,0,0.0882,513.554,0,1,0,0,-0.0882,0,-0.9961,-625.4532,0,0,0,1
126.6847,513.5759,0,-625.7023,1.395868,1.395868,4.000912,510.2096,0.25,-537.0947,88.41254,0,-0.9962,0,0.0875,513.5759,0,1,0,0,-0.0875,0,-0.9962,-625.7023,0,0,0,1
126.6928,513.5977,0,-625.9513,1.399609,1.399609,4.048519,510.2096,0.25,-537.0947,88.66218,0,-0.9962,0,0.0868,513.5977,0,1,0,0,-0.0868,0,-0.9962,-625.9513,0,0,0,1
126.704,513.6192,0,-626.2004,1.403538,1.403538,4.099789,510.2096,0.25,-537.0947,88.91193,0,-0.9963,0,0.0861,513.6192,0,1,0,0,-0.0861,0,-0.9963,-626.2004,0,0,0,1
126.7156,513.6406,0,-626.4495,1.407644,1.407644,4.209652,510.2096,0.25,-537.0947,89.16162,0,-0.9963,0,0.0854,513.6406,0,1,0,0,-0.0854,0,-0.9963,-626.4495,0,0,0,1
126.7264,513.6617,0,-626.6986,1.411944,1.411944,4.330516,510.2096,0.25,-537.0947,89.4113,0,-0.9964,0,0.0846,513.6617,0,1,0,0,-0.0846,0,-0.9964,-626.6986,0,0,0,1
