vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,28.99999,1,0,0
31,0.008492,0,29.99994,0.999856,0,-0.016982
32,0.033962,0,30.99961,0.999423,0,-0.03396
33,0.076408,0,31.9987,0.998702,0,-0.050927
34,0.135811,0,32.99691,0.997694,0,-0.06788
35,0.212162,0,33.99399,0.996397,0,-0.084814
36,0.305431,0,34.98961,0.994813,0,-0.101722
37,0.415596,0,35.98352,0.992942,0,-0.118602
38,0.542625,0,36.97541,0.990785,0,-0.135447
39,0.686474,0,37.96499,0.988342,0,-0.152254
40,0.847118,0,38.952,0.985613,0,-0.169016
41,1.02449,0,39.93612,0.982601,0,-0.18573
42,1.218559,0,40.91711,0.979305,0,-0.20239
43,1.429253,0,41.89464,0.975727,0,-0.218991
44,1.656517,0,42.86846,0.971867,0,-0.23553
45,1.900291,0,43.83829,0.967727,0,-0.252001
46,2.160496,0,44.80382,0.963308,0,-0.268398
47,2.437057,0,45.7648,0.958611,0,-0.284719
48,2.729908,0,46.72095,0.953638,0,-0.300957
49,3.038944,0,47.67199,0.948389,0,-0.317109
50,3.36409,0,48.61763,0.942867,0,-0.333169
51,3.70525,0,49.55763,0.937073,0,-0.349133
52,4.062325,0,50.49169,0.931009,0,-0.364996
53,4.435211,0,51.41956,0.924676,0,-0.380754
54,4.823795,0,52.34096,0.918077,0,-0.396402
55,5.227974,0,53.25562,0.911213,0,-0.411936
56,5.647629,0,54.1633,0.904086,0,-0.427351
