time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
45.22833,184.0811,0,-55.22531,0.927739,0.927739,-2.700849,205.3435,0.25,16.65362,74.64731,0,-0.9221,0,-0.3869,184.0811,0,1,0,0,0.3869,0,-0.9221,-55.2253,0,0,0,1
45.24229,183.888,0,-55.68651,0.92396,0.92396,-2.536047,205.3435,0.25,16.65362,75.14424,0,-0.9225,0,-0.386,183.888,0,1,0,0,0.386,0,-0.9225,-55.6865,0,0,0,1
45.25038,183.7916,0,-55.91717,0.921902,0.921902,-2.43717,205.3435,0.25,16.65362,75.39274,0,-0.9226,0,-0.3856,183.7916,0,1,0,0,0.3856,0,-0.9226,-55.9172,0,0,0,1
45.26195,183.6953,0,-56.14787,0.919742,0.919742,-2.323644,205.3435,0.25,16.65362,75.64126,0,-0.9228,0,-0.3853,183.6953,0,1,0,0,0.3853,0,-0.9228,-56.1479,0,0,0,1
45.27657,183.5991,0,-56.37861,0.917503,0.917503,-2.151525,205.3435,0.25,16.65362,75.8898,0,-0.9229,0,-0.3849,183.5991,0,1,0,0,0.3849,0,-0.9229,-56.3786,0,0,0,1
45.28395,183.5029,0,-56.60938,0.915179,0.915179,-1.917143,205.3435,0.25,16.65362,76.13837,0,-0.9231,0,-0.3846,183.5029,0,1,0,0,0.3846,0,-0.9231,-56.6094,0,0,0,1
45.29496,183.4068,0,-56.84018,0.912773,0.912773,-1.796293,205.3435,0.25,16.65362,76.38694,0,-0.9232,0,-0.3843,183.4068,0,1,0,0,0.3843,0,-0.9232,-56.8402,0,0,0,1
45.3065,183.3108,0,-57.07101,0.9103,0.9103,-1.580222,205.3435,0.25,16.65362,76.63554,0,-0.9233,0,-0.3841,183.3108,0,1,0,0,0.3841,0,-0.9233,-57.071,0,0,0,1
45.31717,183.2148,0,-57.30186,0.907745,0.907745,-1.481345,205.3435,0.25,16.65362,76.88414,0,-0.9234,0,-0.3838,183.2148,0,1,0,0,0.3838,0,-0.9234,-57.3019,0,0,0,1
45.32817,183.1189,0,-57.53273,0.905142,0.905142,-1.338522,205.3435,0.25,16.65362,77.13277,0,-0.9235,0,-0.3836,183.1189,0,1,0,0,0.3836,0,-0.9235,-57.5327,0,0,0,1
