time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
310.1037,513.251,0,-1299.698,1.405218,1.405218,0.108032,559.5132,0.25,-1333.238,56.79229,0,-0.4615,0,0.8871,513.251,0,1,0,0,-0.8871,0,-0.4615,-1299.698,0,0,0,1
310.1156,513.4728,0,-1299.813,1.407073,1.407073,0.108032,559.5132,0.25,-1333.238,56.54498,0,-0.4616,0,0.8871,513.4728,0,1,0,0,-0.8871,0,-0.4616,-1299.813,0,0,0,1
310.1257,513.6946,0,-1299.929,1.408921,1.408921,0.108032,559.5132,0.25,-1333.238,56.2977,0,-0.4616,0,0.8871,513.6946,0,1,0,0,-0.8871,0,-0.4616,-1299.929,0,0,0,1
310.137,513.9164,0,-1300.044,1.410832,1.410832,0.111694,559.5132,0.25,-1333.238,56.05043,0,-0.4616,0,0.8871,513.9164,0,1,0,0,-0.8871,0,-0.4616,-1300.044,0,0,0,1
310.148,514.1381,0,-1300.159,1.412498,1.412498,0.111694,559.5132,0.25,-1333.238,55.80332,0,-0.4616,0,0.8871,514.1381,0,1,0,0,-0.8871,0,-0.4616,-1300.159,0,0,0,1
310.1596,514.3599,0,-1300.275,1.414545,1.414545,0.115356,559.5132,0.25,-1333.238,55.55609,0,-0.4616,0,0.8871,514.3599,0,1,0,0,-0.8871,0,-0.4616,-1300.275,0,0,0,1
310.1726,514.8033,0,-1300.506,1.418257,1.418257,0.115356,559.5132,0.25,-1333.238,55.06184,0,-0.4617,0,0.8871,514.8033,0,1,0,0,-0.8871,0,-0.4617,-1300.506,0,0,0,1
310.1815,515.0251,0,-1300.621,1.420304,1.420304,0.115356,559.5132,0.25,-1333.238,54.81468,0,-0.4617,0,0.887,515.0251,0,1,0,0,-0.887,0,-0.4617,-1300.621,0,0,0,1
310.1926,515.2468,0,-1300.737,1.422243,1.422243,0.115356,559.5132,0.25,-1333.238,54.56755,0,-0.4617,0,0.887,515.2468,0,1,0,0,-0.887,0,-0.4617,-1300.737,0,0,0,1
310.2035,515.4686,0,-1300.852,1.42429,1.42429,0.115356,559.5132,0.25,-1333.238,54.3204,0,-0.4617,0,0.887,515.4686,0,1,0,0,-0.887,0,-0.4617,-1300.852,0,0,0,1
310.2155,515.6903,0,-1300.968,1.426228,1.426228,0.115356,559.5132,0.25,-1333.238,54.07337,0,-0.4617,0,0.887,515.6903,0,1,0,0,-0.887,0,-0.4617,-1300.968,0,0,0,1
310.2256,515.912,0,-1301.083,1.428247,1.428247,0.115356,559.5132,0.25,-1333.238,53.82632,0,-0.4618,0,0.887,515.912,0,1,0,0,-0.887,0,-0.4618,-1301.083,0,0,0,1
310.2369,516.1338,0,-1301.198,1.430186,1.430186,0.115356,559.5132,0.25,-1333.238,53.5793,0,-0.4618,0,0.887,516.1338,0,1,0,0,-0.887,0,-0.4618,-1301.198,0,0,0,1
310.2518,516.5773,0,-1301.429,1.434171,1.434171,0.115356,559.5132,0.25,-1333.238,53.08533,0,-0.4618,0,0.887,516.5773,0,1,0,0,-0.887,0,-0.4618,-1301.429,0,0,0,1
