vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,29,1,0,0
31,-0.007759,0,29.99996,0.99988,0,0.015523
32,-0.031044,0,30.99968,0.999518,0,0.031042
33,-0.069847,0,31.99892,0.998916,0,0.046554
34,-0.124146,0,32.99743,0.998073,0,0.062055
35,-0.193947,0,33.99498,0.996989,0,0.077541
36,-0.279228,0,34.99133,0.995665,0,0.093008
37,-0.379959,0,35.98623,0.994102,0,0.108452
38,-0.496121,0,36.97945,0.992298,0,0.123871
39,-0.627689,0,37.97075,0.990256,0,0.139259
40,-0.774628,0,38.95988,0.987975,0,0.154614
41,-0.936905,0,39.94662,0.985456,0,0.169932
42,-1.114479,0,40.93072,0.982699,0,0.185209
43,-1.307308,0,41.91194,0.979706,0,0.200441
44,-1.515347,0,42.89005,0.976476,0,0.215625
45,-1.738541,0,43.86481,0.973011,0,0.230757
46,-1.976841,0,44.83599,0.969312,0,0.245834
47,-2.23019,0,45.80336,0.965379,0,0.260851
48,-2.498524,0,46.76667,0.961214,0,0.275805
49,-2.781776,0,47.72571,0.956817,0,0.290693
50,-3.079884,0,48.68023,0.952189,0,0.30551
51,-3.392773,0,49.63001,0.947332,0,0.320254
52,-3.720367,0,50.57482,0.942246,0,0.334921
53,-4.062588,0,51.51443,0.936934,0,0.349508
54,-4.419353,0,52.44861,0.931395,0,0.36401
55,-4.790577,0,53.37714,0.925632,0,0.378424
56,-5.17617,0,54.2998,0.919647,0,0.392747
