time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
56.26041,319.905,0,-232.0347,2.318679,2.318679,-1.1957,205.3435,0.25,16.65362,273.4753,0,-0.0032,0,1,319.905,0,1,0,0,-1,0,-0.0032,-232.0347,0,0,0,1
56.27145,320.155,0,-232.0354,2.32144,2.32144,-1.1957,205.3435,0.25,16.65362,273.5805,0,-0.003,0,1,320.155,0,1,0,0,-1,0,-0.003,-232.0354,0,0,0,1
56.28282,320.405,0,-232.0361,2.324157,2.324157,-1.192038,205.3435,0.25,16.65362,273.6859,0,-0.0028,0,1,320.405,0,1,0,0,-1,0,-0.0028,-232.0361,0,0,0,1
56.29382,320.655,0,-232.0367,2.326796,2.326796,-1.188376,205.3435,0.25,16.65362,273.7915,0,-0.0026,0,1,320.655,0,1,0,0,-1,0,-0.0026,-232.0367,0,0,0,1
56.30587,320.905,0,-232.0373,2.329391,2.329391,-1.148086,205.3435,0.25,16.65362,273.8972,0,-0.0024,0,1,320.905,0,1,0,0,-1,0,-0.0024,-232.0373,0,0,0,1
56.31955,321.155,0,-232.0379,2.331954,2.331954,-1.144423,205.3435,0.25,16.65362,274.003,0,-0.0022,0,1,321.155,0,1,0,0,-1,0,-0.0022,-232.0379,0,0,0,1
56.32732,321.405,0,-232.0384,2.334456,2.334456,-1.122451,205.3435,0.25,16.65362,274.109,0,-0.002,0,1,321.405,0,1,0,0,-1,0,-0.002,-232.0384,0,0,0,1
56.33799,321.655,0,-232.0388,2.336913,2.336913,-1.118789,205.3435,0.25,16.65362,274.2151,0,-0.0018,0,1,321.655,0,1,0,0,-1,0,-0.0018,-232.0388,0,0,0,1
56.34917,321.905,0,-232.0392,2.339324,2.339324,-1.100478,205.3435,0.25,16.65362,274.3214,0,-0.0016,0,1,321.905,0,1,0,0,-1,0,-0.0016,-232.0392,0,0,0,1
56.36053,322.405,0,-232.0399,2.343993,2.343993,-1.096816,205.3435,0.25,16.65362,274.5344,0,-0.0012,0,1,322.405,0,1,0,0,-1,0,-0.0012,-232.0399,0,0,0,1
