time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
148.6304,232.6708,0,-925.3122,1.642578,1.642578,0.254517,198.6734,0.25,-879.4603,56.73113,0,0.7005,0,-0.7136,232.6708,0,1,0,0,0.7136,0,0.7005,-925.3122,0,0,0,1
148.6416,232.4924,0,-925.1371,1.641175,1.641175,0.302124,198.6734,0.25,-879.4603,56.48426,0,0.7005,0,-0.7136,232.4924,0,1,0,0,0.7136,0,0.7005,-925.1371,0,0,0,1
148.6528,232.314,0,-924.9619,1.639824,1.639824,0.324097,198.6734,0.25,-879.4603,56.23738,0,0.7006,0,-0.7136,232.314,0,1,0,0,0.7136,0,0.7006,-924.9619,0,0,0,1
148.6636,232.1356,0,-924.7867,1.638508,1.638508,0.327759,198.6734,0.25,-879.4603,55.99053,0,0.7006,0,-0.7135,232.1356,0,1,0,0,0.7135,0,0.7006,-924.7867,0,0,0,1
148.6798,231.9572,0,-924.6116,1.637149,1.637149,0.327759,198.6734,0.25,-879.4603,55.74371,0,0.7007,0,-0.7135,231.9572,0,1,0,0,0.7135,0,0.7007,-924.6116,0,0,0,1
148.6899,231.7789,0,-924.4364,1.635843,1.635843,0.327759,198.6734,0.25,-879.4603,55.49693,0,0.7007,0,-0.7134,231.7789,0,1,0,0,0.7134,0,0.7007,-924.4364,0,0,0,1
148.698,231.6005,0,-924.2612,1.634494,1.634494,0.327759,198.6734,0.25,-879.4603,55.25018,0,0.7008,0,-0.7134,231.6005,0,1,0,0,0.7134,0,0.7008,-924.2612,0,0,0,1
148.708,231.4222,0,-924.0861,1.633189,1.633189,0.327759,198.6734,0.25,-879.4603,55.00347,0,0.7008,0,-0.7134,231.4222,0,1,0,0,0.7134,0,0.7008,-924.0861,0,0,0,1
148.7192,231.2439,0,-923.9108,1.631959,1.631959,0.327759,198.6734,0.25,-879.4603,54.75674,0,0.7008,0,-0.7133,231.2439,0,1,0,0,0.7133,0,0.7008,-923.9108,0,0,0,1
148.7309,230.8872,0,-923.5604,1.629412,1.629412,0.327759,198.6734,0.25,-879.4603,54.2634,0,0.7009,0,-0.7132,230.8872,0,1,0,0,0.7132,0,0.7009,-923.5604,0,0,0,1
148.7456,230.7089,0,-923.3851,1.628193,1.628193,0.327759,198.6734,0.25,-879.4603,54.01678,0,0.701,0,-0.7132,230.7089,0,1,0,0,0.7132,0,0.701,-923.3851,0,0,0,1
148.7536,230.5307,0,-923.21,1.62692,1.62692,0.327759,198.6734,0.25,-879.4603,53.77027,0,0.701,0,-0.7132,230.5307,0,1,0,0,0.7132,0,0.701,-923.21,0,0,0,1
148.765,230.3524,0,-923.0347,1.625722,1.625722,0.327759,198.6734,0.25,-879.4603,53.52367,0,0.701,0,-0.7131,230.3524,0,1,0,0,0.7131,0,0.701,-923.0347,0,0,0,1
148.7751,230.1741,0,-922.8594,1.624525,1.624525,0.327759,198.6734,0.25,-879.4603,53.27711,0,0.7011,0,-0.7131,230.1741,0,1,0,0,0.7131,0,0.7011,-922.8594,0,0,0,1
148.7862,229.9958,0,-922.6841,1.623338,1.623338,0.327759,198.6734,0.25,-879.4603,53.03059,0,0.7011,0,-0.713,229.9958,0,1,0,0,0.713,0,0.7011,-922.6841,0,0,0,1
148.7973,229.8176,0,-922.5088,1.622194,1.622194,0.327759,198.6734,0.25,-879.4603,52.78412,0,0.7012,0,-0.713,229.8176,0,1,0,0,0.713,0,0.7012,-922.5088,0,0,0,1
148.8084,229.6393,0,-922.3335,1.621007,1.621007,0.327759,198.6734,0.25,-879.4603,52.53768,0,0.7012,0,-0.713,229.6393,0,1,0,0,0.713,0,0.7012,-922.3335,0,0,0,1
148.8193,229.4611,0,-922.1582,1.619874,1.619874,0.327759,198.6734,0.25,-879.4603,52.29128,0,0.7012,0,-0.7129,229.4611,0,1,0,0,0.7129,0,0.7012,-922.1582,0,0,0,1
148.8305,229.1047,0,-921.8076,1.61763,1.61763,0.327759,198.6734,0.25,-879.4603,51.79861,0,0.7013,0,-0.7128,229.1047,0,1,0,0,0.7128,0,0.7013,-921.8076,0,0,0,1
148.8422,228.9265,0,-921.6321,1.616594,1.616594,0.327759,198.6734,0.25,-879.4603,51.55217,0,0.7014,0,-0.7128,228.9265,0,1,0,0,0.7128,0,0.7014,-921.6321,0,0,0,1
148.8529,228.7483,0,-921.4568,1.615494,1.615494,0.327759,198.6734,0.25,-879.4603,51.30595,0,0.7014,0,-0.7128,228.7483,0,1,0,0,0.7128,0,0.7014,-921.4568,0,0,0,1
148.8649,228.5701,0,-921.2815,1.614436,1.614436,0.327759,198.6734,0.25,-879.4603,51.0597,0,0.7014,0,-0.7127,228.5701,0,1,0,0,0.7127,0,0.7014,-921.2815,0,0,0,1
148.8758,228.3919,0,-921.1061,1.613347,1.613347,0.327759,198.6734,0.25,-879.4603,50.8135,0,0.7015,0,-0.7127,228.3919,0,1,0,0,0.7127,0,0.7015,-921.1061,0,0,0,1
148.8863,228.2138,0,-920.9308,1.6123,1.6123,0.327759,198.6734,0.25,-879.4603,50.56734,0,0.7015,0,-0.7126,228.2138,0,1,0,0,0.7126,0,0.7015,-920.9308,0,0,0,1
148.8971,228.0356,0,-920.7554,1.611286,1.611286,0.327759,198.6734,0.25,-879.4603,50.32117,0,0.7016,0,-0.7126,228.0356,0,1,0,0,0.7126,0,0.7016,-920.7554,0,0,0,1
148.9083,227.8575,0,-920.58,1.610304,1.610304,0.320435,198.6734,0.25,-879.4603,50.07505,0,0.7016,0,-0.7126,227.8575,0,1,0,0,0.7126,0,0.7016,-920.58,0,0,0,1
148.9193,227.6793,0,-920.4045,1.60929,1.60929,0.302124,198.6734,0.25,-879.4603,49.82898,0,0.7016,0,-0.7125,227.6793,0,1,0,0,0.7125,0,0.7016,-920.4045,0,0,0,1
148.9311,227.3231,0,-920.0537,1.607358,1.607358,0.2948,198.6734,0.25,-879.4603,49.33696,0,0.7017,0,-0.7125,227.3231,0,1,0,0,0.7125,0,0.7017,-920.0537,0,0,0,1
148.944,227.145,0,-919.8784,1.606344,1.606344,0.280151,198.6734,0.25,-879.4603,49.09108,0,0.7018,0,-0.7124,227.145,0,1,0,0,0.7124,0,0.7018,-919.8784,0,0,0,1
148.9526,226.9669,0,-919.7028,1.60547,1.60547,0.280151,198.6734,0.25,-879.4603,48.84508,0,0.7018,0,-0.7124,226.9669,0,1,0,0,0.7124,0,0.7018,-919.7028,0,0,0,1
148.9635,226.7888,0,-919.5273,1.604542,1.604542,0.280151,198.6734,0.25,-879.4603,48.59918,0,0.7018,0,-0.7124,226.7888,0,1,0,0,0.7124,0,0.7018,-919.5273,0,0,0,1
148.9748,226.6107,0,-919.3519,1.603604,1.603604,0.280151,198.6734,0.25,-879.4603,48.35332,0,0.7019,0,-0.7123,226.6107,0,1,0,0,0.7123,0,0.7019,-919.3519,0,0,0,1
148.9855,226.4327,0,-919.1764,1.602676,1.602676,0.280151,198.6734,0.25,-879.4603,48.10752,0,0.7019,0,-0.7123,226.4327,0,1,0,0,0.7123,0,0.7019,-919.1764,0,0,0,1
148.9969,226.2546,0,-919.001,1.601737,1.601737,0.280151,198.6734,0.25,-879.4603,47.86182,0,0.7019,0,-0.7122,226.2546,0,1,0,0,0.7122,0,0.7019,-919.001,0,0,0,1
149.0126,225.8985,0,-918.65,1.599946,1.599946,0.280151,198.6734,0.25,-879.4603,47.37047,0,0.702,0,-0.7122,225.8985,0,1,0,0,0.7122,0,0.702,-918.65,0,0,0,1
149.0229,225.7205,0,-918.4744,1.599169,1.599169,0.280151,198.6734,0.25,-879.4603,47.12469,0,0.702,0,-0.7121,225.7205,0,1,0,0,0.7121,0,0.702,-918.4744,0,0,0,1
149.0311,225.5424,0,-918.299,1.598284,1.598284,0.280151,198.6734,0.25,-879.4603,46.8792,0,0.7021,0,-0.7121,225.5424,0,1,0,0,0.7121,0,0.7021,-918.299,0,0,0,1
149.0411,225.3644,0,-918.1234,1.597507,1.597507,0.280151,198.6734,0.25,-879.4603,46.63359,0,0.7021,0,-0.7121,225.3644,0,1,0,0,0.7121,0,0.7021,-918.1234,0,0,0,1
149.052,225.1864,0,-917.9478,1.596666,1.596666,0.280151,198.6734,0.25,-879.4603,46.3881,0,0.7021,0,-0.712,225.1864,0,1,0,0,0.712,0,0.7021,-917.9478,0,0,0,1
149.0631,225.0084,0,-917.7723,1.595803,1.595803,0.280151,198.6734,0.25,-879.4603,46.14269,0,0.7022,0,-0.712,225.0084,0,1,0,0,0.712,0,0.7022,-917.7723,0,0,0,1
149.0745,224.8304,0,-917.5967,1.595036,1.595036,0.280151,198.6734,0.25,-879.4603,45.89725,0,0.7022,0,-0.712,224.8304,0,1,0,0,0.712,0,0.7022,-917.5967,0,0,0,1
149.0862,224.6524,0,-917.4212,1.594249,1.594249,0.280151,198.6734,0.25,-879.4603,45.65191,0,0.7022,0,-0.7119,224.6524,0,1,0,0,0.7119,0,0.7022,-917.4212,0,0,0,1
149.0964,224.4745,0,-917.2456,1.593483,1.593483,0.280151,198.6734,0.25,-879.4603,45.40658,0,0.7023,0,-0.7119,224.4745,0,1,0,0,0.7119,0,0.7023,-917.2456,0,0,0,1
149.1079,224.2965,0,-917.07,1.59276,1.59276,0.280151,198.6734,0.25,-879.4603,45.16129,0,0.7023,0,-0.7119,224.2965,0,1,0,0,0.7119,0,0.7023,-917.07,0,0,0,1
149.1197,224.1185,0,-916.8944,1.592005,1.592005,0.280151,198.6734,0.25,-879.4603,44.91608,0,0.7023,0,-0.7118,224.1185,0,1,0,0,0.7118,0,0.7023,-916.8944,0,0,0,1
