time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
189.7552,-95.229,0,-1092.809,1.857859,1.857859,-0.111694,-32.28038,0.25,-826.8574,272.999,0,-0.6141,0,0.7893,-95.229,0,1,0,0,-0.7893,0,-0.6141,-1092.809,0,0,0,1
189.7663,-95.03169,0,-1092.963,1.859187,1.859187,0.08606,-32.28038,0.25,-826.8574,273.1032,0,-0.6141,0,0.7892,-95.0317,0,1,0,0,-0.7892,0,-0.6141,-1092.963,0,0,0,1
189.7777,-94.83438,0,-1093.116,1.860479,1.860479,0.188599,-32.28038,0.25,-826.8574,273.2077,0,-0.6141,0,0.7892,-94.8344,0,1,0,0,-0.7892,0,-0.6141,-1093.116,0,0,0,1
189.7883,-94.63709,0,-1093.27,1.861847,1.861847,0.327759,-32.28038,0.25,-826.8574,273.3123,0,-0.6142,0,0.7892,-94.6371,0,1,0,0,-0.7892,0,-0.6142,-1093.27,0,0,0,1
189.7995,-94.4398,0,-1093.423,1.86322,1.86322,0.444946,-32.28038,0.25,-826.8574,273.4171,0,-0.6142,0,0.7891,-94.4398,0,1,0,0,-0.7891,0,-0.6142,-1093.423,0,0,0,1
189.8143,-94.04529,0,-1093.73,1.865971,1.865971,0.609756,-32.28038,0.25,-826.8574,273.6273,0,-0.6144,0,0.789,-94.0453,0,1,0,0,-0.789,0,-0.6144,-1093.73,0,0,0,1
189.8217,-93.84805,0,-1093.884,1.867257,1.867257,0.734267,-32.28038,0.25,-826.8574,273.7327,0,-0.6145,0,0.7889,-93.8481,0,1,0,0,-0.7889,0,-0.6145,-1093.884,0,0,0,1
189.8337,-93.65083,0,-1094.038,1.868773,1.868773,0.807509,-32.28038,0.25,-826.8574,273.8384,0,-0.6146,0,0.7888,-93.6508,0,1,0,0,-0.7888,0,-0.6146,-1094.038,0,0,0,1
189.844,-93.45366,0,-1094.191,1.870304,1.870304,0.921035,-32.28038,0.25,-826.8574,273.9443,0,-0.6147,0,0.7887,-93.4537,0,1,0,0,-0.7887,0,-0.6147,-1094.191,0,0,0,1
189.8559,-93.25649,0,-1094.345,1.871834,1.871834,0.997939,-32.28038,0.25,-826.8574,274.0504,0,-0.6149,0,0.7886,-93.2565,0,1,0,0,-0.7886,0,-0.6149,-1094.345,0,0,0,1
189.8661,-93.05936,0,-1094.499,1.873407,1.873407,1.089492,-32.28038,0.25,-826.8574,274.1568,0,-0.615,0,0.7885,-93.0594,0,1,0,0,-0.7885,0,-0.615,-1094.499,0,0,0,1
189.8812,-92.66521,0,-1094.806,1.876777,1.876777,1.166396,-32.28038,0.25,-826.8574,274.3701,0,-0.6153,0,0.7883,-92.6652,0,1,0,0,-0.7883,0,-0.6153,-1094.806,0,0,0,1
189.8915,-92.46816,0,-1094.96,1.878502,1.878502,1.206679,-32.28038,0.25,-826.8574,274.4772,0,-0.6155,0,0.7881,-92.4682,0,1,0,0,-0.7881,0,-0.6155,-1094.96,0,0,0,1
189.8996,-92.46816,0,-1094.96,1.878502,1.878502,1.206679,-32.28038,0.25,-826.8574,274.4772,0,-0.6155,0,0.7881,-92.4682,0,1,0,0,-0.7881,0,-0.6155,-1094.96,0,0,0,1
189.9113,-92.0742,0,-1095.268,1.882178,1.882178,1.261611,-32.28038,0.25,-826.8574,274.692,0,-0.6158,0,0.7879,-92.0742,0,1,0,0,-0.7879,0,-0.6158,-1095.268,0,0,0,1
189.9223,-91.87726,0,-1095.422,1.884157,1.884157,1.287246,-32.28038,0.25,-826.8574,274.7998,0,-0.616,0,0.7877,-91.8773,0,1,0,0,-0.7877,0,-0.616,-1095.422,0,0,0,1
189.933,-91.68037,0,-1095.576,1.886187,1.886187,1.305556,-32.28038,0.25,-826.8574,274.9079,0,-0.6162,0,0.7876,-91.6804,0,1,0,0,-0.7876,0,-0.6162,-1095.576,0,0,0,1
189.9441,-91.48351,0,-1095.73,1.88805,1.88805,1.309218,-32.28038,0.25,-826.8574,275.016,0,-0.6164,0,0.7875,-91.4835,0,1,0,0,-0.7875,0,-0.6164,-1095.73,0,0,0,1
189.9557,-91.28667,0,-1095.885,1.890186,1.890186,1.309218,-32.28038,0.25,-826.8574,275.1245,0,-0.6166,0,0.7873,-91.2867,0,1,0,0,-0.7873,0,-0.6166,-1095.885,0,0,0,1
189.9674,-91.08988,0,-1096.039,1.892332,1.892332,1.309218,-32.28038,0.25,-826.8574,275.2331,0,-0.6167,0,0.7872,-91.0899,0,1,0,0,-0.7872,0,-0.6167,-1096.039,0,0,0,1
189.9784,-90.89313,0,-1096.193,1.894486,1.894486,1.309218,-32.28038,0.25,-826.8574,275.342,0,-0.6169,0,0.787,-90.8931,0,1,0,0,-0.787,0,-0.6169,-1096.193,0,0,0,1
189.9905,-90.49972,0,-1096.501,1.899082,1.899082,1.309218,-32.28038,0.25,-826.8574,275.5606,0,-0.6173,0,0.7867,-90.4997,0,1,0,0,-0.7867,0,-0.6173,-1096.501,0,0,0,1
190.0007,-90.30307,0,-1096.656,1.901431,1.901431,1.309218,-32.28038,0.25,-826.8574,275.6703,0,-0.6175,0,0.7866,-90.3031,0,1,0,0,-0.7866,0,-0.6175,-1096.656,0,0,0,1
190.0125,-90.10645,0,-1096.81,1.903882,1.903882,1.309218,-32.28038,0.25,-826.8574,275.7801,0,-0.6176,0,0.7865,-90.1065,0,1,0,0,-0.7865,0,-0.6176,-1096.81,0,0,0,1
190.0235,-89.90987,0,-1096.965,1.906342,1.906342,1.309218,-32.28038,0.25,-826.8574,275.8902,0,-0.6178,0,0.7863,-89.9099,0,1,0,0,-0.7863,0,-0.6178,-1096.965,0,0,0,1
190.035,-89.71333,0,-1097.119,1.908945,1.908945,1.309218,-32.28038,0.25,-826.8574,276.0006,0,-0.618,0,0.7862,-89.7133,0,1,0,0,-0.7862,0,-0.618,-1097.119,0,0,0,1
190.0461,-89.51682,0,-1097.274,1.911456,1.911456,1.309218,-32.28038,0.25,-826.8574,276.1111,0,-0.6182,0,0.786,-89.5168,0,1,0,0,-0.786,0,-0.6182,-1097.274,0,0,0,1
190.0573,-89.32034,0,-1097.428,1.914073,1.914073,1.309218,-32.28038,0.25,-826.8574,276.2219,0,-0.6184,0,0.7859,-89.3203,0,1,0,0,-0.7859,0,-0.6184,-1097.428,0,0,0,1
190.0688,-89.1239,0,-1097.583,1.916829,1.916829,1.309218,-32.28038,0.25,-826.8574,276.3329,0,-0.6185,0,0.7858,-89.1239,0,1,0,0,-0.7858,0,-0.6185,-1097.583,0,0,0,1
