vertex_index,xVertex_position,yVertex_position,zVertex_position,xNormal,yNormal,zNormal
0,0,0,0,1,0,0
1,0,0,1,1,0,0
2,0,0,2,1,0,0
3,0,0,3,1,0,0
4,0,0,4,1,0,0
5,0,0,5,1,0,0
6,0,0,6,1,0,0
7,0,0,7,1,0,0
8,0,0,8,1,0,0
9,0,0,9,1,0,0
10,0,0,10,1,0,0
11,0,0,11,1,0,0
12,0,0,12,1,0,0
13,0,0,13,1,0,0
14,0,0,14,1,0,0
15,0,0,15,1,0,0
16,0,0,16,1,0,0
17,0,0,17,1,0,0
18,0,0,18,1,0,0
19,0,0,19,1,0,0
20,0,0,20,1,0,0
21,0,0,21,1,0,0
22,0,0,22,1,0,0
23,0,0,23,1,0,0
24,0,0,24,1,0,0
25,0,0,25,1,0,0
26,0,0,26,1,0,0
27,0,0,27,1,0,0
28,0,0,28,1,0,0
29,0,0,29,1,0,0
30,0,0,29,1,0,0
31,-0.007629,0,29.99996,0.999884,0,0.015252
32,-0.030502,0,30.99969,0.999535,0,0.030501
33,-0.068626,0,31.99895,0.998953,0,0.045742
34,-0.121986,0,32.99752,0.998139,0,0.060973
35,-0.190567,0,33.99516,0.997093,0,0.07619
36,-0.274361,0,34.99163,0.995815,0,0.091389
37,-0.373337,0,35.98671,0.994306,0,0.106567
38,-0.48748,0,36.98016,0.992565,0,0.12172
39,-0.616768,0,37.97176,0.990593,0,0.136844
40,-0.761162,0,38.96127,0.98839,0,0.151937
41,-0.920631,0,39.94846,0.985958,0,0.166994
42,-1.095139,0,40.93311,0.983296,0,0.182013
43,-1.284637,0,41.91498,0.980406,0,0.196989
44,-1.489098,0,42.89384,0.977287,0,0.211919
45,-1.708466,0,43.86948,0.973941,0,0.226801
46,-1.94268,0,44.84165,0.970369,0,0.241629
47,-2.191704,0,45.81014,0.966571,0,0.256401
48,-2.455463,0,46.77472,0.962547,0,0.271114
49,-2.73391,0,47.73516,0.9583,0,0.285763
50,-3.026966,0,48.69125,0.95383,0,0.300346
51,-3.334576,0,49.64275,0.949139,0,0.314859
52,-3.656662,0,50.58945,0.944226,0,0.329299
53,-3.993149,0,51.53112,0.939094,0,0.343662
54,-4.34396,0,52.46756,0.933743,0,0.357945
55,-4.709011,0,53.39854,0.928175,0,0.372145
56,-5.088219,0,54.32384,0.922391,0,0.386258
