time,pos_x,pos_y,pos_z,distFromRoadCenter,signedDistFromRoadCenter,wheelAngle,obstacle_pos_x,obstacle_pos_y,obstacle_pos_z,distance_to_obstacle,brake_position,simplecar_4x4_R0C0,simplecar_4x4_R0C1,simplecar_4x4_R0C2,simplecar_4x4_R0C3,simplecar_4x4_R1C0,simplecar_4x4_R1C1,simplecar_4x4_R1C2,simplecar_4x4_R1C3,simplecar_4x4_R2C0,simplecar_4x4_R2C1,simplecar_4x4_R2C2,simplecar_4x4_R2C3,simplecar_4x4_R3C0,simplecar_4x4_R3C1,simplecar_4x4_R3C2,simplecar_4x4_R3C3
178.7285,-93.93948,0,-869.5194,1.95611,1.95611,-2.517736,-32.28038,0.25,-826.8574,74.63148,0,-0.455,0,-0.8905,-93.9395,0,1,0,0,0.8905,0,-0.455,-869.5194,0,0,0,1
178.7406,-94.38456,0,-869.7472,1.970893,1.970893,-2.891278,-32.28038,0.25,-826.8574,75.12719,0,-0.4559,0,-0.8901,-94.3846,0,1,0,0,0.8901,0,-0.4559,-869.7472,0,0,0,1
178.7508,-94.60701,0,-869.8613,1.97807,1.97807,-3.067067,-32.28038,0.25,-826.8574,75.37509,0,-0.4563,0,-0.8898,-94.607,0,1,0,0,0.8898,0,-0.4563,-869.8613,0,0,0,1
178.7659,-94.8294,0,-869.9755,1.985108,1.985108,-3.275807,-32.28038,0.25,-826.8574,75.62302,0,-0.4568,0,-0.8895,-94.8294,0,1,0,0,0.8895,0,-0.4568,-869.9755,0,0,0,1
178.7774,-95.05171,0,-870.0898,1.991991,1.991991,-3.550472,-32.28038,0.25,-826.8574,75.87102,0,-0.4574,0,-0.8893,-95.0517,0,1,0,0,0.8893,0,-0.4574,-870.0898,0,0,0,1
178.7845,-95.27396,0,-870.2043,1.998748,1.998748,-3.642025,-32.28038,0.25,-826.8574,76.119,0,-0.458,0,-0.889,-95.274,0,1,0,0,0.889,0,-0.458,-870.2043,0,0,0,1
178.7932,-95.49612,0,-870.3189,2.005301,2.005301,-3.711605,-32.28038,0.25,-826.8574,76.36702,0,-0.4585,0,-0.8887,-95.4961,0,1,0,0,0.8887,0,-0.4585,-870.3189,0,0,0,1
178.8054,-95.71822,0,-870.4337,2.01165,2.01165,-3.75555,-32.28038,0.25,-826.8574,76.61511,0,-0.4591,0,-0.8884,-95.7182,0,1,0,0,0.8884,0,-0.4591,-870.4337,0,0,0,1
178.8155,-95.94023,0,-870.5486,2.017908,2.017908,-3.781185,-32.28038,0.25,-826.8574,76.86322,0,-0.4597,0,-0.8881,-95.9402,0,1,0,0,0.8881,0,-0.4597,-870.5486,0,0,0,1
178.8265,-96.16217,0,-870.6637,2.023972,2.023972,-3.781185,-32.28038,0.25,-826.8574,77.11134,0,-0.4603,0,-0.8878,-96.1622,0,1,0,0,0.8878,0,-0.4603,-870.6637,0,0,0,1
