experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,turn_direction,turn_radius,obstacle_visibility,divergence,speed_level,speed_LvCounter,carSpeed,steerAngleAtTrialStart,x_rotAtTrialStart,y_rotAtTrialStart,z_rotAtTrialStart,cws_threshold_detection_distance,cws_warning_volume,cws_sensing_type,cws_warning_type,collision_has_occurred,time_of_collision,time_of_warning,road_vertices_location_0,roadTransformMat_location_0,simplecar_carTransformMatrix_location_0
cws_2,ImergenWstopsFull,1,69,1,69,713.7,719.59,left,52.64092,0,1.52,0,1,20.1,0.803847,0,0.43882,0,20,0.5,distance_threshold,auditory loom,False,NaN,715.6318,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T069.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T069.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T069.csv
cws_2,ImergenWstopsFull,1,70,1,70,721.06,726.97,left,52.64092,0,1.9,0,1,20.1,-0.192261,0,-0.09287,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T070.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T070.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T070.csv
cws_2,ImergenWstopsFull,1,71,1,71,728.44,734.05,right,43.68991,0,2.73,0,1,20.1,0.745254,0,-0.607359,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T071.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T071.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T071.csv
cws_2,ImergenWstopsFull,1,72,1,72,735.52,741.18,right,59.16269,0.3,2.71,0,1,20.1,-0.009155,0,0.011113,0,20,0.5,distance_threshold,auditory loom,False,NaN,742.6362,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T072.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T072.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T072.csv
cws_2,ImergenWstopsFull,1,73,1,73,742.65,752.44,left,57.49502,0.03,2.09,0,1,20.1,-0.331428,0,0.491663,0,20,0.5,distance_threshold,auditory loom,True,749.05,753.8997,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T073.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T073.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T073.csv
cws_2,ImergenWstopsFull,1,74,1,74,753.91,763.42,right,43.68991,0,2.66,0,1,20.1,1.192031,0,-0.002589,0,20,0.5,distance_threshold,auditory loom,True,759.75,759.7397,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T074.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T074.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T074.csv
cws_2,ImergenWstopsFull,1,75,1,75,764.89,770.78,left,64.29504,0.3,1.89,0,1,20.1,-1.880522,0,0.632257,0,20,0.5,distance_threshold,auditory loom,False,NaN,772.2374,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T075.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T075.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T075.csv
cws_2,ImergenWstopsFull,1,76,1,76,772.25,782.02,right,43.68991,0,2.56,0,1,20.1,0.045776,0,0.212077,0,20,0.5,distance_threshold,auditory loom,True,778.62,778.6132,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T076.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T076.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T076.csv
cws_2,ImergenWstopsFull,1,77,1,77,783.49,789.4,left,52.64092,0,1.9,0,1,20.1,-0.210571,0,0.782348,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T077.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T077.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T077.csv
cws_2,ImergenWstopsFull,1,78,1,78,790.87,796.47,right,43.68991,0,2.51,0,1,20.1,0.130005,0,0.327284,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T078.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T078.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T078.csv
cws_2,ImergenWstopsFull,1,79,1,79,797.94,803.55,right,43.68991,0,2.63,0,1,20.1,-2.122228,0,0.845794,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T079.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T079.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T079.csv
cws_2,ImergenWstopsFull,1,80,1,80,805.01,810.9,left,52.64092,0,1.36,0,1,20.1,0.664687,0,0.993808,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T080.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T080.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T080.csv
cws_2,ImergenWstopsFull,1,81,1,81,812.36,818.03,right,59.16269,0.3,2.68,0,1,20.1,-0.122681,0,0.900752,0,20,0.5,distance_threshold,auditory loom,False,NaN,819.487,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T081.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T081.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T081.csv
cws_2,ImergenWstopsFull,1,82,1,82,819.49,829.07,left,52.64092,0,1.94,0,1,20.1,-0.111694,0,0.998766,0,20,0.5,distance_threshold,auditory loom,False,NaN,829.7516,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T082.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T082.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T082.csv
cws_2,ImergenWstopsFull,1,83,1,83,830.54,836.16,right,43.68991,0,2.52,0,1,20.1,-0.31678,0,0.868342,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T083.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T083.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T083.csv
cws_2,ImergenWstopsFull,1,84,1,84,837.63,843.22,right,43.68991,0,2.93,0,1,20.1,-0.020142,0,0.984843,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T084.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T084.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T084.csv
cws_2,ImergenWstopsFull,1,85,1,85,844.68,850.27,right,43.68991,0,2.96,0,1,20.1,-0.232544,0,0.667921,0,20,0.5,distance_threshold,auditory loom,False,NaN,NaN,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T085.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T085.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T085.csv
cws_2,ImergenWstopsFull,1,86,1,86,851.74,857.62,left,64.29504,0.3,1.74,0,1,20.1,-1.635153,0,0.053871,0,20,0.5,distance_threshold,auditory loom,False,NaN,859.0771,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T086.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T086.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T086.csv
cws_2,ImergenWstopsFull,1,87,1,87,859.09,868.64,right,63.13271,0.03,2.81,0,1,20.1,0.078735,0,0.491097,0,20,0.5,distance_threshold,auditory loom,True,865.28,870.101,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T087.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T087.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T087.csv
cws_2,ImergenWstopsFull,1,88,1,88,870.11,879.92,right,59.16269,0.3,3.12,0,1,20.1,-0.177612,0,0.046676,0,20,0.5,distance_threshold,auditory loom,True,876.38,881.386,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T088.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T088.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T088.csv
cws_2,ImergenWstopsFull,1,89,1,89,881.39,891.48,left,52.64092,0,2.45,0,1,20.1,1.766996,0,-0.438623,0,20,0.5,distance_threshold,auditory loom,True,887.9,887.8898,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T089.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T089.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T089.csv
cws_2,ImergenWstopsFull,1,90,1,90,892.95,898.84,left,57.49502,0.03,1.58,0,1,20.1,0.796523,0,0.113753,0,20,0.5,distance_threshold,auditory loom,False,NaN,900.287,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T090.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T090.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T090.csv
cws_2,ImergenWstopsFull,1,91,1,91,900.3,909.68,left,52.93988,1,2.16,0,1,20.1,-1.140761,0,0.582219,0,20,0.5,distance_threshold,auditory loom,True,906.05,911.1367,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T091.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T091.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T091.csv
cws_2,ImergenWstopsFull,1,92,1,92,911.15,920.65,right,52.43622,1,2.81,0,1,20.1,0.595107,0,0.926178,0,20,0.5,distance_threshold,auditory loom,True,917.24,922.1006,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T092.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T092.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T092.csv
cws_2,ImergenWstopsFull,1,93,1,93,922.11,932.02,right,63.13271,0.03,2.9,0,1,20.1,-0.847793,0,0.575651,0,20,0.5,distance_threshold,auditory loom,True,928.49,933.4724,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T093.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T093.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T093.csv
cws_2,ImergenWstopsFull,1,94,1,94,933.49,940.19,left,52.64092,0,2.94,0,1,20.1,-0.195923,0,0.142035,0,20,0.5,distance_threshold,auditory loom,True,936.87,936.8587,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T094.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T094.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T094.csv
cws_2,ImergenWstopsFull,1,95,1,95,941.66,947.54,left,57.49502,0.03,1.45,0,1,20.1,1.814604,0,0.651419,0,20,0.5,distance_threshold,auditory loom,False,NaN,948.9947,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T095.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T095.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T095.csv
cws_2,ImergenWstopsFull,1,96,1,96,949.0099,958.92,right,59.16269,0.3,2.95,0,1,20.1,1.265273,0,0.93806,0,20,0.5,distance_threshold,auditory loom,True,955.6,960.3879,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T096.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T096.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T096.csv
cws_2,ImergenWstopsFull,1,97,1,97,960.39,970.31,right,52.43622,1,2.67,0,1,20.1,0.042114,0,0.664621,0,20,0.5,distance_threshold,auditory loom,True,964.08,971.7696,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T097.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T097.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T097.csv
cws_2,ImergenWstopsFull,1,98,1,98,971.78,982.21,left,52.64092,0,2.29,0,1,20.1,-0.148315,0,0.153597,0,20,0.5,distance_threshold,auditory loom,True,978.44,978.435,cws_2/ImergenWstopsFull/S001/trackers/road_vertices_T098.csv,cws_2/ImergenWstopsFull/S001/trackers/roadTransformMat_T098.csv,cws_2/ImergenWstopsFull/S001/trackers/simplecar_carTransformMatrix_T098.csv
